block	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461
172	07:45	08:00	08:15	08:30	08:45	09:00	09:15	09:30	09:45	10:00	10:15	10:30	10:45	11:00	11:15	11:30	11:45	12:00	12:15	12:30	12:45	13:00	13:15	13:30	13:45	14:00	14:15	14:30	14:45	15:00	15:15	15:30	15:45	16:00	16:15	16:30	16:45	17:00	17:15	17:30	17:45	18:00	18:15	18:30	18:45	19:00	19:15	19:30	19:45	20:00
175	07:47	08:02	08:17	08:32	08:47	09:02	09:17	09:32	09:47	10:02	10:17	10:32	10:47	11:02	11:17	11:32	11:47	12:02	12:17	12:32	12:47	13:02	13:17	13:32	13:47	14:02	14:17	14:32	14:47	15:02	15:17	15:32	15:47	16:02	16:17	16:32	16:47	17:02	17:17	17:32	17:47	18:02	18:17	18:32	18:47	19:02	19:17	19:32	19:47	20:02
133	07:48	08:03	08:18	08:33	08:48	09:03	09:18	09:33	09:48	10:03	10:18	10:33	10:48	11:03	11:18	11:33	11:48	12:03	12:18	12:33	12:48	13:03	13:18	13:33	13:48	14:03	14:18	14:33	14:48	15:03	15:18	15:33	15:48	16:03	16:18	16:33	16:48	17:03	17:18	17:33	17:48	18:03	18:18	18:33	18:48	19:03	19:18	19:33	19:48	20:03
204	07:49	08:04	08:19	08:34	08:49	09:04	09:19	09:34	09:49	10:04	10:19	10:34	10:49	11:04	11:19	11:34	11:49	12:04	12:19	12:34	12:49	13:04	13:19	13:34	13:49	14:04	14:19	14:34	14:49	15:04	15:19	15:34	15:49	16:04	16:19	16:34	16:49	17:04	17:19	17:34	17:49	18:04	18:19	18:34	18:49	19:04	19:19	19:34	19:49	20:04
101	07:51	08:06	08:21	08:36	08:51	09:06	09:21	09:36	09:51	10:05	10:21	10:36	10:51	11:06	11:21	11:36	11:51	12:06	12:21	12:36	12:51	13:06	13:21	13:36	13:51	14:06	14:21	14:36	14:51	15:06	15:21	15:36	15:51	16:06	16:21	16:36	16:51	17:06	17:21	17:36	17:51	18:06	18:21	18:36	18:51	19:06	19:21	19:36	19:51	20:06
202	07:53	08:08	08:23	08:38	08:53	09:08	09:23	09:38	09:53	10:08	10:23	10:38	10:53	11:08	11:23	11:38	11:53	12:08	12:23	12:38	12:53	13:08	13:23	13:38	13:53	14:08	14:23	14:38	14:53	15:08	15:23	15:38	15:53	16:08	16:23	16:38	16:53	17:08	17:23	17:38	17:53	18:08	18:23	18:38	18:53	19:08	19:23	19:38	19:53	20:08
111	07:54	08:09	08:24	08:39	08:54	09:09	09:24	09:39	09:54	10:09	10:24	10:39	10:54	11:09	11:24	11:39	11:54	12:09	12:24	12:39	12:54	13:09	13:24	13:39	13:54	14:09	14:24	14:39	14:54	15:09	15:24	15:39	15:54	16:09	16:24	16:39	16:54	17:09	17:24	17:39	17:54	18:09	18:24	18:39	18:54	19:09	19:24	19:39	19:54	20:09
106	07:55	08:10	08:25	08:40	08:55	09:10	09:25	09:40	09:55	10:10	10:25	10:40	10:55	11:10	11:25	11:40	11:55	12:10	12:25	12:40	12:55	13:10	13:25	13:40	13:55	14:10	14:25	14:40	14:55	15:10	15:25	15:40	15:55	16:10	16:25	16:40	16:55	17:10	17:25	17:40	17:55	18:10	18:25	18:40	18:55	19:10	19:25	19:40	19:55	20:10
115	07:57	08:12	08:27	08:42	08:57	09:12	09:27	09:42	09:57	10:12	10:27	10:42	10:57	11:12	11:27	11:42	11:57	12:12	12:27	12:42	12:57	13:12	13:27	13:42	13:57	14:12	14:27	14:42	14:57	15:12	15:27	15:42	15:57	16:12	16:27	16:42	16:57	17:12	17:27	17:42	17:57	18:12	18:27	18:42	18:57	19:12	19:27	19:42	19:57	20:12
227	07:59	08:14	08:29	08:44	08:59	09:14	09:29	09:44	09:59	10:14	10:29	10:44	10:59	11:14	11:29	11:44	11:59	12:14	12:29	12:44	12:59	13:14	13:29	13:44	13:59	14:14	14:29	14:44	14:59	15:14	15:29	15:44	15:59	16:14	16:29	16:44	16:59	17:14	17:29	17:44	17:59	18:14	18:29	18:44	18:59	19:14	19:29	19:44	19:59	20:14
225	08:01	08:16	08:31	08:46	09:01	09:16	09:31	09:46	10:01	10:16	10:31	10:46	11:01	11:16	11:31	11:46	12:01	12:16	12:31	12:46	13:01	13:16	13:31	13:46	14:01	14:16	14:31	14:46	15:01	15:16	15:31	15:46	16:01	16:16	16:31	16:46	17:01	17:16	17:31	17:46	18:01	18:16	18:31	18:46	19:01	19:16	19:31	19:46	20:01	20:16
