block	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461	463	462	461
225	08:05	08:20	08:35	08:50	09:05	09:20	09:35	09:50	10:05	10:20	10:35	10:50	11:05	11:20	11:35	11:50	12:05	12:20	12:35	12:50	13:05	13:20	13:35	13:50	14:05	14:20	14:35	14:50	15:05	15:20	15:35	15:50	16:05	16:20	16:35	16:50	17:05	17:20	17:35	17:50	18:05	18:20	18:35	18:50	19:05	19:20	19:35	19:50	20:05	20:20
226	08:07	08:22	08:37	08:52	09:07	09:22	09:37	09:52	10:07	10:22	10:37	10:52	11:07	11:22	11:37	11:52	12:07	12:22	12:37	12:52	13:07	13:22	13:37	13:52	14:07	14:22	14:37	14:52	15:07	15:22	15:37	15:52	16:07	16:22	16:37	16:52	17:07	17:22	17:37	17:52	18:07	18:22	18:37	18:52	19:07	19:22	19:37	19:52	20:07	20:22
114	08:09	08:24	08:39	08:54	09:09	09:24	09:39	09:54	10:09	10:24	10:39	10:54	11:09	11:24	11:39	11:54	12:09	12:24	12:39	12:54	13:09	13:24	13:39	13:54	14:09	14:24	14:39	14:54	15:09	15:24	15:39	15:54	16:09	16:24	16:39	16:54	17:09	17:24	17:39	17:54	18:09	18:24	18:39	18:54	19:09	19:24	19:39	19:54	20:09	20:24
107	08:11	08:26	08:41	08:56	09:11	09:26	09:41	09:56	10:11	10:26	10:41	10:56	11:11	11:26	11:41	11:56	12:11	12:26	12:41	12:56	13:11	13:26	13:41	13:56	14:11	14:26	14:41	14:56	15:11	15:26	15:41	15:56	16:11	16:26	16:41	16:56	17:11	17:26	17:41	17:56	18:11	18:26	18:41	18:56	19:11	19:26	19:41	19:56	20:11	20:26
110	08:12	08:27	08:42	08:57	09:12	09:27	09:42	09:57	10:12	10:27	10:42	10:57	11:12	11:27	11:42	11:57	12:12	12:27	12:42	12:57	13:12	13:27	13:42	13:57	14:12	14:27	14:42	14:57	15:12	15:27	15:42	15:57	16:12	16:27	16:42	16:57	17:12	17:27	17:42	17:57	18:12	18:27	18:42	18:57	19:12	19:27	19:42	19:57	20:12	20:27
203	08:13	08:28	08:43	08:58	09:13	09:28	09:43	09:58	10:13	10:28	10:43	10:58	11:13	11:28	11:43	11:58	12:13	12:28	12:43	12:58	13:13	13:28	13:43	13:58	14:13	14:28	14:43	14:58	15:13	15:28	15:43	15:58	16:13	16:28	16:43	16:58	17:13	17:28	17:43	17:58	18:13	18:28	18:43	18:58	19:13	19:28	19:43	19:58	20:13	20:28
100	08:15	08:30	08:45	09:00	09:15	09:30	09:45	10:00	10:15	10:30	10:45	11:00	11:15	11:30	11:45	12:00	12:15	12:30	12:45	13:00	13:15	13:30	13:45	14:00	14:15	14:30	14:45	15:00	15:15	15:30	15:45	16:00	16:15	16:30	16:45	17:00	17:15	17:30	17:45	18:00	18:15	18:30	18:45	19:00	19:15	19:30	19:45	20:00	20:15	20:30
140	08:17	08:32	08:47	09:02	09:17	09:32	09:47	10:02	10:17	10:32	10:47	11:02	11:17	11:32	11:47	12:02	12:17	12:32	12:47	13:02	13:17	13:32	13:47	14:02	14:17	14:32	14:46	15:02	15:17	15:32	15:47	16:02	16:17	16:32	16:47	17:02	17:17	17:32	17:47	18:02	18:17	18:32	18:47	19:02	19:17	19:32	19:47	20:02	20:17	20:32
165	08:18	08:33	08:48	09:03	09:18	09:33	09:48	10:03	10:18	10:33	10:48	11:03	11:18	11:33	11:48	12:03	12:18	12:33	12:48	13:03	13:18	13:33	13:48	14:03	14:18	14:33	14:48	15:03	15:18	15:33	15:48	16:03	16:18	16:33	16:48	17:03	17:18	17:33	17:48	18:03	18:18	18:33	18:48	19:03	19:18	19:33	19:48	20:03	20:18	20:33
172	08:20	08:35	08:50	09:05	09:20	09:35	09:50	10:05	10:20	10:35	10:50	11:05	11:20	11:35	11:50	12:05	12:20	12:35	12:50	13:05	13:20	13:35	13:50	14:05	14:20	14:35	14:50	15:05	15:20	15:35	15:50	16:05	16:20	16:35	16:50	17:05	17:20	17:35	17:50	18:05	18:20	18:35	18:50	19:05	19:20	19:35	19:50	20:05	20:20	20:35
