block	31	31	31	31	31	31
172	07:50	09:50	12:25	15:10	16:15	18:00
175	07:51	09:51	12:26	15:11	16:16	18:01
133	07:52	09:52	12:27	15:12	16:17	18:02
204	07:53	09:53	12:28	15:13	16:18	18:03
101	07:55	09:55	12:30	15:15	16:20	18:05
104	07:56	09:56	12:31	15:16	16:21	18:06
191	07:57	09:57	12:32	15:17	16:22	18:07
125	07:58	09:58	12:33	15:18	16:23	18:08
164	07:59	09:59	12:34	15:19	16:24	18:09
143	08:00	10:00	12:35	15:20	16:25	18:10
103	08:01	10:01	12:36	15:21	16:26	18:11
148	08:02	10:02	12:37	15:22	16:27	18:12
141	08:03	10:03	12:38	15:23	16:28	18:13
153	08:04	10:04	12:39	15:24	16:29	18:14
130	08:05	10:05	12:40	15:25	16:30	18:15
128	08:06	10:06	12:41	15:26	16:31	18:16
106	08:07	10:07	12:42	15:27	16:32	18:17
115	08:08	10:08	12:43	15:28	16:33	18:18
223	08:09	10:09	12:44	15:29	16:34	18:19
113	08:10	10:10	12:45	15:30	16:35	18:20
158	08:12	10:12	12:47	15:32	16:37	18:22
216	08:14	10:14	12:49	15:34	16:39	18:24
182	08:15	10:15	12:50	15:35	16:40	18:25
