block	31	31	31	31	31	31
182	08:15	10:15	12:50	15:35	16:40	18:25
112	08:17	10:17	12:52	15:37	16:42	18:27
224	08:18	10:18	12:53	15:38	16:43	18:28
114	08:19	10:20	12:54	15:39	16:44	18:29
107	08:20	10:21	12:55	15:40	16:45	18:30
129	08:22	10:22	12:57	15:41	16:47	18:31
131	08:23	10:23	12:58	15:42	16:48	18:32
154	08:24	10:24	12:59	15:43	16:49	18:33
142	08:25	10:25	13:00	15:44	16:50	18:34
147	08:26	10:26	13:02	15:45	16:51	18:35
102	08:27	10:27	13:03	15:46	16:52	18:36
144	08:28	10:28	13:04	15:47	16:53	18:37
163	08:29	10:29	13:05	15:48	16:54	18:38
124	08:30	10:30	13:06	15:49	16:55	18:39
190	08:31	10:31	13:07	15:50	16:56	18:40
105	08:32	10:32	13:08	15:51	16:57	18:41
100	08:33	10:33	13:09	15:52	16:58	18:42
140	08:35	10:35	13:11	15:54	17:00	18:44
165	08:36	10:36	13:13	15:55	17:01	18:45
172	08:37	10:38	13:15	15:56	17:03	18:47
