block	112	111	112	113	111	112	113	111	112	113	111	112	111	112	111	112	111	112	111	112	113	111	112	113	112	113	112	111	121	111	121	111	121	111
182	05:06	05:39	05:55	06:16	06:36	06:56	07:12	07:27	07:53	08:20	08:46	09:20	10:06	10:46	11:35	12:10	13:07	13:34	14:12	14:34	15:12	15:34	16:05	16:36	17:05	17:33	18:01	18:38	19:02	19:38	20:02	21:00	21:21	21:57
112	05:08	05:41	05:57	06:18	06:38	06:58	07:14	07:29	07:55	08:22	08:48	09:22	10:08	10:47	11:37	12:12	13:09	13:36	14:14	14:36	15:14	15:36	16:07	16:38	17:07	17:35	18:03	18:40	19:04	19:40	20:04	21:01	21:23	21:59
224	05:09	05:42	05:58	06:19	06:39	06:59	07:15	07:30	07:56	08:23	08:49	09:23	10:09	10:48	11:38	12:13	13:10	13:37	14:15	14:37	15:15	15:37	16:08	16:39	17:08	17:36	18:04	18:41	19:05	19:41	20:05	21:03	21:24	22:00
114	05:10	05:43	05:59	06:20	06:40	07:01	07:17	07:31	07:57	08:24	08:50	09:24	10:11	10:49	11:39	12:14	13:11	13:38	14:17	14:39	15:17	15:39	16:10	16:41	17:10	17:37	18:05	18:42	19:06	19:42	20:06	21:04	21:25	22:01
107	05:11	05:44	06:00	06:21	06:41	07:02	07:18	07:32	07:58	08:25	08:51	09:25	10:12	10:51	11:40	12:15	13:12	13:39	14:18	14:40	15:18	15:40	16:11	16:42	17:11	17:38	18:06	18:43	19:07	19:43	20:07	21:05	21:26	22:02
129	05:12	05:45	06:01	06:23	06:43	07:03	07:20	07:34	08:00	08:26	08:52	09:27	10:13	10:52	11:42	12:17	13:13	13:41	14:20	14:42	15:20	15:42	16:13	16:44	17:13	17:40	18:08	18:45	19:09	19:44	20:09	21:06	21:27	22:04
131	05:13	05:46	06:02	06:24	06:44	07:04	07:21	07:35	08:01	08:27	08:53	09:28	10:15	10:53	11:43	12:19	13:15	13:42	14:21	14:43	15:21	15:43	16:14	16:45	17:14	17:41	18:10	18:46	19:10	19:46	20:10	21:07	21:28	22:05
154	05:14	05:47	06:03	06:25	06:45	07:05	07:22	07:36	08:02	08:28	08:54	09:29	10:16	10:54	11:44	12:20	13:16	13:43	14:22	14:44	15:22	15:44	16:16	16:46	17:16	17:42	18:11	18:47	19:11	19:47	20:11	21:08	21:29	22:06
142	05:15	05:48	06:04	06:26	06:46	07:06	07:23	07:37	08:03	08:29	08:55	09:30	10:17	10:55	11:45	12:21	13:17	13:44	14:23	14:45	15:23	15:45	16:17	16:47	17:17	17:43	18:12	18:48	19:12	19:48	20:12	21:09	21:30	22:07
147	05:16	05:49	06:05	06:27	06:47	07:07	07:24	07:38	08:04	08:30	08:56	09:31	10:18	10:56	11:46	12:22	13:18	13:45	14:24	14:46	15:24	15:46	16:18	16:48	17:18	17:44	18:13	18:49	19:13	19:49	20:13	21:10	21:31	22:08
102	05:17	05:50	06:06	06:28	06:48	07:08	07:25	07:39	08:05	08:31	08:57	09:32	10:19	10:57	11:47	12:23	13:19	13:46	14:25	14:47	15:25	15:47	16:19	16:49	17:19	17:45	18:14	18:50	19:14	19:50	20:14	21:11	21:32	22:09
144	05:18	05:51	06:07	06:29	06:49	07:09	07:26	07:40	08:06	08:32	08:58	09:33	10:20	10:58	11:48	12:24	13:20	13:47	14:26	14:48	15:26	15:48	16:20	16:50	17:20	17:46	18:15	18:51	19:15	19:51	20:15	21:12	21:33	22:10
