block	22	22	22	22	22	22	22	22	22	22	22	21	22	22	21
172	06:30	07:05	08:15	08:50	09:30	10:25	11:10	11:55	12:40	13:25	14:05	15:25	16:55	18:45	19:45
170	06:31	07:06	08:16	08:52	09:32	10:27	11:12	11:57	12:41	13:26	14:07	15:27	16:56	18:46	19:46
150	06:32	07:07	08:17	08:53	09:33	10:28	11:13	11:58	12:42	13:27	14:08	15:28	16:57	18:47	19:47
200	06:33	07:08	08:18	08:54	09:34	10:29	11:14	11:59	12:43	13:28	14:09	15:29	16:58	18:48	19:48
126	06:34	07:09	08:19	08:55	09:35	10:30	11:15	12:00	12:44	13:29	14:10	15:30	16:59	18:49	19:49
160	06:35	07:10	08:20	08:56	09:37	10:31	11:16	12:01	12:45	13:30	14:11	15:32	17:00	18:50	19:50
174	06:36	07:11	08:21	08:58	09:39	10:33	11:18	12:03	12:47	13:32	14:13	15:34	17:02	18:52	19:52
161	06:38	07:12	08:22	09:00	09:40	10:34	11:19	12:04	12:49	13:34	14:15	15:35	17:03	18:53	19:53
108	06:39	07:14	08:24	09:02	09:42	10:36	11:22	12:07	12:51	13:36	14:17	15:37	17:05	18:55	19:55
195	06:40	07:15	08:25	09:03	09:43	10:37	11:23	12:08	12:52	13:37	14:18	15:38	17:06	18:56	19:56
117	06:41	07:16	08:26	09:04	09:44	10:38	11:24	12:09	12:53	13:38	14:19	15:39	17:07	18:57	19:57
216	06:42	07:17	08:27	09:05	09:45	10:39	11:25	12:10	12:54	13:39	14:20	15:40	17:08	18:58	19:58
182	06:44	07:19	08:28	09:07	09:47	10:41	11:27	12:12	12:56	13:41	14:22	15:42	17:10	19:00	20:00
