block	121	121	122	121	122	121	122	121	122	121	122	121	122	121	122	121	122	121	121	122	121	122	121	122	121	122	121	122	121	122	121	122	112	112	112	112	112
172	04:55	05:30	05:45	06:05	06:45	07:05	07:25	07:50	08:20	08:50	09:10	09:30	09:50	10:10	10:30	11:00	11:25	11:50	12:30	12:50	13:15	13:55	14:15	14:35	15:00	15:25	15:55	16:20	16:50	17:10	17:40	18:10	19:00	20:00	20:40	21:30	22:05
170	04:56	05:31	05:46	06:06	06:46	07:06	07:26	07:51	08:21	08:51	09:12	09:31	09:51	10:11	10:31	11:01	11:26	11:51	12:31	12:51	13:16	13:56	14:16	14:37	15:02	15:27	15:56	16:22	16:52	17:11	17:41	18:12	19:01	20:01	20:41	21:31	22:06
150	04:57	05:32	05:47	06:07	06:47	07:07	07:27	07:52	08:22	08:52	09:13	09:32	09:52	10:12	10:32	11:02	11:27	11:52	12:32	12:52	13:17	13:57	14:17	14:38	15:03	15:28	15:57	16:23	16:53	17:12	17:42	18:13	19:02	20:02	20:42	21:32	22:07
200	04:58	05:33	05:48	06:08	06:48	07:08	07:28	07:53	08:23	08:53	09:14	09:33	09:53	10:13	10:33	11:03	11:28	11:53	12:33	12:53	13:18	13:58	14:18	14:39	15:04	15:29	15:58	16:24	16:54	17:13	17:43	18:14	19:03	20:03	20:43	21:33	22:08
126	04:59	05:34	05:49	06:09	06:49	07:09	07:29	07:54	08:24	08:54	09:15	09:34	09:54	10:14	10:34	11:04	11:29	11:54	12:34	12:54	13:19	13:59	14:19	14:40	15:05	15:30	15:59	16:25	16:56	17:14	17:44	18:15	19:04	20:04	20:44	21:34	22:09
160	05:00	05:35	05:50	06:10	06:50	07:10	07:30	07:55	08:25	08:55	09:16	09:35	09:55	10:15	10:35	11:05	11:30	11:55	12:35	12:55	13:20	14:00	14:20	14:41	15:06	15:31	16:00	16:26	16:57	17:15	17:45	18:16	19:05	20:05	20:45	21:35	22:10
174	05:02	05:37	05:52	06:12	06:52	07:12	07:32	07:57	08:27	08:57	09:18	09:37	09:57	10:17	10:37	11:07	11:32	11:57	12:37	12:57	13:22	14:02	14:22	14:43	15:08	15:33	16:02	16:28	16:59	17:17	17:46	18:18	19:06	20:07	20:46	21:36	22:11
161	05:03	05:38	05:53	06:13	06:53	07:13	07:34	07:58	08:29	08:59	09:19	09:39	09:59	10:19	10:39	11:09	11:34	11:59	12:39	12:59	13:24	14:04	14:24	14:45	15:09	15:35	16:04	16:30	17:01	17:19	17:48	18:19	19:08	20:08	20:48	21:37	22:13
108	05:05	05:40	05:55	06:14	06:55	07:14	07:36	08:00	08:31	09:01	09:21	09:41	10:01	10:21	10:41	11:11	11:36	12:01	12:41	13:01	13:26	14:06	14:26	14:47	15:12	15:37	16:06	16:32	17:03	17:21	17:50	18:21	19:10	20:10	20:49	21:38	22:14
195	05:06	05:41	05:56	06:16	06:56	07:16	07:37	08:01	08:32	09:02	09:22	09:42	10:02	10:22	10:42	11:12	11:37	12:02	12:42	13:02	13:27	14:07	14:27	14:48	15:13	15:38	16:07	16:33	17:04	17:22	17:51	18:22	19:11	20:11	20:50	21:39	22:15
117	05:07	05:42	05:57	06:17	06:57	07:17	07:38	08:02	08:33	09:03	09:23	09:43	10:03	10:23	10:43	11:13	11:38	12:03	12:43	13:03	13:28	14:08	14:28	14:49	15:14	15:39	16:08	16:34	17:05	17:23	17:52	18:23	19:12	20:12	20:51	21:40	22:16
216	05:08	05:43	05:58	06:18	06:58	07:18	07:39	08:03	08:34	09:04	09:24	09:44	10:04	10:24	10:44	11:14	11:39	12:04	12:44	13:04	13:29	14:09	14:29	14:50	15:15	15:40	16:09	16:35	17:06	17:24	17:53	18:24	19:13	20:13	20:52	21:41	22:17
182	05:10	05:45	06:00	06:20	07:00	07:20	07:41	08:05	08:36	09:06	09:26	09:46	10:06	10:26	10:46	11:16	11:41	12:06	12:46	13:06	13:31	14:11	14:31	14:52	15:17	15:42	16:11	16:37	17:08	17:26	17:55	18:26	19:14	20:14	20:54	21:43	22:19
