block	22	22	22	22	22	22	22	22	22	22	22	21	22	22	21
182	06:44	07:19	08:28	09:07	09:47	10:41	11:27	12:12	12:56	13:41	14:22	15:42	17:10	19:00	20:00
158	06:46	07:21	08:30	09:09	09:49	10:43	11:30	12:15	12:58	13:44	14:24	15:44	17:12	19:02	20:02
118	06:48	07:23	08:32	09:11	09:51	10:45	11:32	12:17	13:00	13:46	14:26	15:46	17:14	19:04	20:04
189	06:49	07:24	08:33	09:12	09:52	10:47	11:34	12:19	13:02	13:48	14:28	15:47	17:15	19:05	20:05
109	06:50	07:25	08:35	09:14	09:54	10:49	11:35	12:20	13:03	13:49	14:30	15:49	17:17	19:07	20:07
162	06:52	07:27	08:37	09:16	09:56	10:51	11:37	12:22	13:05	13:51	14:32	15:51	17:19	19:09	20:09
173	06:53	07:28	08:38	09:18	09:57	10:53	11:39	12:24	13:07	13:53	14:33	15:52	17:20	19:10	20:10
204	06:54	07:29	08:39	09:19	09:58	10:55	11:40	12:25	13:08	13:54	14:34	15:53	17:21	19:11	20:11
159	06:55	07:30	08:40	09:20	09:59	10:56	11:41	12:26	13:09	13:55	14:35	15:54	17:22	19:12	20:12
127	06:56	07:31	08:41	09:21	10:00	10:57	11:42	12:27	13:10	13:57	14:36	15:55	17:23	19:13	20:13
201	06:57	07:32	08:42	09:22	10:01	10:59	11:44	12:29	13:11	13:58	14:37	15:56	17:24	19:14	20:14
149	06:58	07:33	08:43	09:23	10:02	11:00	11:45	12:30	13:12	13:59	14:38	15:57	17:25	19:15	20:15
171	06:59	07:34	08:44	09:24	10:03	11:01	11:46	12:31	13:13	14:00	14:39	15:58	17:26	19:16	20:16
172	07:00	07:36	08:45	09:26	10:05	11:02	11:47	12:32	13:14	14:01	14:40	16:00	17:28	19:18	20:18
