block	24	24	24	24	24	24	24	22	22	22	22
172	07:00	08:00	09:10	10:15	11:20	12:35	13:30	14:55	16:00	17:40	19:20
175	07:02	08:02	09:11	10:17	11:22	12:37	13:32	14:57	16:02	17:42	19:22
133	07:03	08:03	09:13	10:18	11:23	12:38	13:33	14:58	16:03	17:43	19:23
206	07:05	08:05	09:15	10:21	11:26	12:40	13:36	15:01	16:05	17:45	19:25
202	07:06	08:06	09:16	10:22	11:27	12:41	13:37	15:02	16:06	17:46	19:26
111	07:07	08:07	09:17	10:23	11:28	12:42	13:38	15:03	16:07	17:47	19:27
106	07:08	08:08	09:18	10:24	11:29	12:43	13:39	15:04	16:08	17:48	19:28
176	07:10	08:10	09:20	10:26	11:31	12:45	13:41	15:06	16:09	17:49	19:29
138	07:11	08:11	09:21	10:27	11:32	12:46	13:42	15:07	16:10	17:50	19:30
215	07:13	08:13	09:23	10:29	11:34	12:48	13:44	15:09	16:12	17:52	19:32
119	07:15	08:15	09:24	10:31	11:36	12:49	13:46	15:11	16:13	17:53	19:33
157	07:17	08:17	09:26	10:33	11:38	12:51	13:48	15:13	16:15	17:55	19:35
181	07:19	08:19	09:29	10:36	11:41	12:54	13:51	15:16	16:17	17:57	19:37
217	07:21	08:21	09:30	10:37	11:42	12:55	13:52	15:17	16:19	17:59	19:39
169	07:23	08:23	09:32	10:39	11:44	12:57	13:54	15:19	16:20	18:00	19:40
151	07:25	08:25	09:34	10:41	11:46	12:59	13:56	15:21	16:22	18:02	19:42
137	07:27	08:27	09:35	10:43	11:48	13:00	13:58	15:23	16:24	18:04	19:43
188	07:28	08:28	09:37	10:44	11:49	13:02	13:59	15:24	16:25	18:05	19:45
