block	31	31	31	31
172	07:00	08:50	11:35	13:35
175	07:02	08:51	11:37	13:37
133	07:03	08:52	11:38	13:38
206	07:05	08:54	11:40	13:40
202	07:06	08:55	11:41	13:41
111	07:07	08:56	11:42	13:42
106	07:08	08:57	11:43	13:43
176	07:09	08:58	11:44	13:44
138	07:10	08:59	11:45	13:45
215	07:12	09:01	11:47	13:47
119	07:13	09:02	11:48	13:48
157	07:14	09:04	11:49	13:49
181	07:16	09:06	11:51	13:51
217	07:17	09:08	11:52	13:52
169	07:18	09:09	11:53	13:53
151	07:20	09:11	11:55	13:55
137	07:21	09:13	11:56	13:56
188	07:22	09:14	11:57	13:57
