block	142	141	142	141	142	141	142	141	142	141	142	141	142	141	142	141	142	141	142	141	142	111	141	142	141	142	141	142	141	142	141	141
188	05:08	05:39	06:19	06:39	07:26	08:04	08:56	09:26	10:06	10:26	11:12	11:42	12:07	12:47	13:05	13:57	14:17	14:58	15:34	16:04	16:37	17:04	17:24	17:59	18:22	19:00	19:16	19:59	20:19	21:01	21:19	22:19
152	05:10	05:41	06:21	06:41	07:28	08:06	08:58	09:28	10:08	10:28	11:14	11:44	12:09	12:49	13:07	13:59	14:19	15:00	15:36	16:06	16:39	17:06	17:26	18:01	18:24	19:02	19:18	20:01	20:21	21:03	21:21	22:21
168	05:12	05:43	06:23	06:43	07:30	08:08	09:00	09:30	10:10	10:30	11:16	11:46	12:11	12:51	13:09	14:01	14:21	15:02	15:38	16:08	16:41	17:08	17:28	18:03	18:26	19:04	19:20	20:03	20:23	21:05	21:23	22:23
218	05:13	05:44	06:24	06:44	07:31	08:09	09:01	09:31	10:11	10:31	11:17	11:47	12:12	12:52	13:10	14:02	14:22	15:03	15:39	16:09	16:42	17:09	17:29	18:04	18:27	19:05	19:21	20:04	20:24	21:06	21:24	22:24
116	05:14	05:45	06:25	06:45	07:32	08:10	09:02	09:32	10:12	10:32	11:18	11:48	12:13	12:53	13:11	14:03	14:23	15:04	15:40	16:10	16:43	17:10	17:30	18:05	18:28	19:06	19:22	20:05	20:25	21:07	21:25	22:25
194	05:15	05:46	06:26	06:46	07:33	08:11	09:03	09:33	10:13	10:33	11:19	11:49	12:14	12:54	13:12	14:04	14:24	15:05	15:41	16:11	16:44	17:11	17:31	18:06	18:29	19:07	19:23	20:06	20:26	21:08	21:26	22:26
109	05:16	05:47	06:27	06:47	07:34	08:12	09:04	09:34	10:14	10:34	11:20	11:50	12:15	12:55	13:13	14:05	14:25	15:06	15:42	16:12	16:45	17:12	17:32	18:07	18:30	19:08	19:24	20:07	20:27	21:09	21:27	22:27
185	05:18	05:49	06:29	06:49	07:36	08:14	09:06	09:36	10:16	10:36	11:22	11:52	12:17	12:57	13:15	14:07	14:27	15:08	15:44	16:14	16:48	17:14	17:34	18:09	18:32	19:10	19:26	20:09	20:29	21:11	21:29	22:29
139	05:20	05:51	06:31	06:51	07:38	08:16	09:08	09:38	10:18	10:38	11:24	11:54	12:19	12:59	13:17	14:09	14:29	15:10	15:46	16:16	16:50	17:16	17:36	18:11	18:34	19:12	19:28	20:11	20:31	21:13	21:31	22:31
177	05:21	05:52	06:32	06:52	07:39	08:17	09:09	09:39	10:19	10:39	11:25	11:55	12:20	13:00	13:18	14:10	14:30	15:11	15:47	16:17	16:51	17:17	17:37	18:12	18:35	19:13	19:29	20:12	20:32	21:14	21:32	22:32
107	05:22	05:53	06:33	06:53	07:41	08:19	09:10	09:40	10:20	10:40	11:26	11:56	12:21	13:01	13:19	14:11	14:31	15:12	15:49	16:19	16:53	17:19	17:39	18:13	18:36	19:14	19:30	20:13	20:33	21:15	21:33	22:33
110	05:23	05:54	06:34	06:54	07:43	08:21	09:11	09:41	10:21	10:41	11:27	11:57	12:22	13:02	13:20	14:13	14:33	15:14	15:51	16:21	16:55	17:21	17:41	18:14	18:37	19:15	19:31	20:14	20:34	21:16	21:34	22:34
203	05:24	05:55	06:35	06:55	07:44	08:22	09:12	09:42	10:22	10:42	11:28	11:58	12:23	13:03	13:21	14:14	14:34	15:15	15:52	16:22	16:56	17:22	17:42	18:15	18:38	19:16	19:32	20:15	20:35	21:17	21:35	22:35
205	05:25	05:56	06:36	06:56	07:45	08:23	09:13	09:43	10:23	10:43	11:29	11:59	12:24	13:04	13:22	14:15	14:35	15:16	15:53	16:23	16:57	17:23	17:43	18:16	18:39	19:17	19:33	20:16	20:36	21:18	21:36	22:36
132	05:27	05:58	06:38	06:58	07:48	08:26	09:15	09:45	10:25	10:45	11:31	12:01	12:26	13:06	13:24	14:16	14:37	15:18	15:56	16:26	17:00	17:26	17:46	18:19	18:42	19:19	19:35	20:18	20:38	21:20	21:38	22:38
172	05:29	06:00	06:40	07:00	07:50	08:28	09:17	09:47	10:27	10:47	11:33	12:03	12:28	13:08	13:26	14:18	14:39	15:20	15:58	16:28	17:02	17:28	17:48	18:21	18:44	19:21	19:37	20:20	20:40	21:22	21:40	22:40
