block	33	33	33	33	33	33
156	12:40	13:45	14:50	16:00	17:10	18:20
214	12:41	13:46	14:51	16:01	17:11	18:21
193	12:42	13:47	14:52	16:02	17:12	18:22
122	12:43	13:48	14:53	16:03	17:13	18:23
180	12:44	13:49	14:54	16:04	17:14	18:24
121	12:45	13:50	14:55	16:05	17:15	18:25
219	12:46	13:51	14:56	16:06	17:16	18:26
145	12:47	13:52	14:57	16:07	17:17	18:27
188	12:49	13:54	14:59	16:09	17:19	18:29
137	12:50	13:55	15:00	16:10	17:20	18:30
136	12:51	13:56	15:01	16:11	17:21	18:31
197	12:53	13:58	15:03	16:13	17:23	18:33
221	12:54	13:59	15:04	16:14	17:24	18:34
195	12:55	14:00	15:05	16:15	17:25	18:35
117	12:56	14:01	15:06	16:16	17:26	18:36
216	12:57	14:02	15:07	16:17	17:27	18:37
182	12:58	14:03	15:08	16:18	17:28	18:38
158	13:00	14:05	15:10	16:20	17:30	18:40
118	13:02	14:07	15:11	16:21	17:31	18:41
189	13:03	14:08	15:12	16:22	17:32	18:42
109	13:04	14:09	15:14	16:24	17:34	18:44
185	13:06	14:11	15:16	16:26	17:36	18:46
139	13:08	14:13	15:18	16:28	17:38	18:48
177	13:09	14:14	15:19	16:29	17:39	18:49
107	13:10	14:15	15:20	16:30	17:40	18:50
