block	33	33	33	33	33	33
106	13:15	14:20	15:25	16:40	17:50	19:10
176	13:16	14:21	15:26	16:41	17:51	19:11
138	13:17	14:22	15:27	16:42	17:52	19:12
215	13:19	14:24	15:29	16:44	17:54	19:14
119	13:20	14:25	15:30	16:45	17:55	19:15
157	13:21	14:26	15:31	16:46	17:56	19:16
181	13:23	14:28	15:33	16:48	17:58	19:18
218	13:24	14:29	15:34	16:49	17:59	19:19
116	13:25	14:30	15:35	16:50	18:00	19:20
194	13:26	14:31	15:36	16:51	18:01	19:21
222	13:27	14:32	15:37	16:52	18:02	19:22
196	13:28	14:33	15:38	16:53	18:03	19:23
188	13:30	14:35	15:40	16:55	18:05	19:25
137	13:31	14:36	15:41	16:56	18:06	19:26
136	13:32	14:37	15:42	16:57	18:07	19:27
146	13:33	14:38	15:43	16:58	18:08	19:28
220	13:34	14:39	15:44	16:59	18:09	19:29
120	13:35	14:40	15:45	17:00	18:10	19:30
179	13:36	14:41	15:46	17:01	18:11	19:31
123	13:37	14:42	15:47	17:02	18:12	19:32
192	13:38	14:43	15:48	17:03	18:13	19:33
213	13:39	14:44	15:49	17:04	18:14	19:34
155	13:40	14:45	15:50	17:05	18:15	19:35
