stop_id,stop_code,stop_name,stop_lat,stop_lon
100,100,Mińsk Maz. 11 Listopada 01,52.184481,21.558975
101,101,Mińsk Maz. 11 Listopada 02,52.184115,21.559450
102,102,Mińsk Maz. Bagnista 01,52.191494,21.560466
103,103,Mińsk Maz. Bagnista 04,52.191479,21.559968
104,104,Mińsk Maz. Boczna 02,52.186723,21.559500
105,105,Mińsk Maz. Boczna 07,52.186851,21.559385
106,106,Mińsk Maz. Budowlana 01,52.184198,21.571856
107,107,Mińsk Maz. Budowlana 02,52.184245,21.574551
108,108,Mińsk Maz. Chemik 02,52.175188,21.572626
109,109,Mińsk Maz. Chemik 05,52.175255,21.573050
110,110,Mińsk Maz. Chełmońskiego 02,52.184347,21.568394
111,111,Mińsk Maz. Chełmońskiego 05,52.184143,21.567959
112,112,Mińsk Maz. Chrobrego 02,52.179450,21.584118
113,113,Mińsk Maz. Chrobrego 03,52.179420,21.584017
114,114,Mińsk Maz. Cmentarz 05,52.184206,21.578475
115,115,Mińsk Maz. Cmentarz 06,52.183876,21.579567
116,116,Mińsk Maz. Cmentarz Żydowski 01,52.173150,21.584500
117,117,Mińsk Maz. Cmentarz Żydowski 06,52.173020,21.584720
118,118,Mińsk Maz. Dąbrówki 01,52.175166,21.581533
119,119,Mińsk Maz. Dąbrówki 04,52.175037,21.581424
120,120,Mińsk Maz. Dźwigowa 01,52.172490,21.564401
121,121,Mińsk Maz. Dźwigowa 02,52.172391,21.564460
122,122,Mińsk Maz. FUD 02,52.173848,21.557461
123,123,Mińsk Maz. FUD 03,52.173911,21.557419
124,124,Mińsk Maz. Jagiellońska 03,52.190428,21.552127
125,125,Mińsk Maz. Jagiellońska 04,52.190205,21.552256
126,126,Mińsk Maz. Jana Pawła II 02,52.182780,21.551910
127,127,Mińsk Maz. Jana Pawła II 03,52.182990,21.552030
128,128,Mińsk Maz. Jasna 01,52.186524,21.570179
129,129,Mińsk Maz. Jasna 02,52.186653,21.570376
130,130,Mińsk Maz. Karolina 03,52.191512,21.572438
131,131,Mińsk Maz. Karolina 04,52.191719,21.572509
132,132,Mińsk Maz. Kazikowskiego 02,52.179700,21.560517
133,133,Mińsk Maz. Kazikowskiego 03,52.179897,21.561024
134,134,Mińsk Maz. Kędzierak 01,52.164331,21.529217
135,135,Mińsk Maz. Kędzierak 02,52.164387,21.528955
136,136,Mińsk Maz. Klonowa 45,52.167284,21.568447
137,137,Mińsk Maz. Klonowa Osiedle 03,52.166145,21.571734
138,138,Mińsk Maz. Kościelna 01,52.180520,21.573440
139,139,Mińsk Maz. Kościelna 02,52.179832,21.572894
140,140,Mińsk Maz. Kościuszki 02,52.181613,21.558718
141,141,Mińsk Maz. Krasickiego 01,52.196169,21.563863
142,142,Mińsk Maz. Krasickiego 04,52.196199,21.564948
143,143,Mińsk Maz. Kwiatowa 02,52.192405,21.556186
144,144,Mińsk Maz. Kwiatowa 03,52.192382,21.556664
145,145,Mińsk Maz. Langiewicza 01,52.170721,21.568371
146,146,Mińsk Maz. Langiewicza 02,52.170708,21.568184
147,147,Mińsk Maz. Leśna 03,52.193337,21.562562
148,148,Mińsk Maz. Leśna 06,52.193580,21.562806
149,149,Mińsk Maz. Licealna 02,52.179592,21.548748
150,150,Mińsk Maz. Licealna 03,52.179677,21.548828
151,151,Mińsk Maz. Ludowa 01,52.166206,21.577527
152,152,Mińsk Maz. Ludowa 04,52.166149,21.577308
153,153,Mińsk Maz. Małaszczyckiej 01,52.195754,21.570531
154,154,Mińsk Maz. Małaszczyckiej 02,52.196041,21.570111
155,155,Mińsk Maz. Mechanik 15,52.171630,21.543540
156,156,Mińsk Maz. Mechanik 16,52.171778,21.544412
157,157,Mińsk Maz. Mickiewicza 01,52.176680,21.584490
158,158,Mińsk Maz. Mickiewicza 02,52.176760,21.584190
159,159,Mińsk Maz. Miejska Szkoła Artystyczna 01,52.181620,21.557230
160,160,Mińsk Maz. Miejska Szkoła Artystyczna 04,52.181784,21.555938
161,161,Mińsk Maz. Mireckiego 01,52.176642,21.566826
162,162,Mińsk Maz. Mireckiego 02,52.176540,21.568210
163,163,Mińsk Maz. Nowy Świat 01,52.192611,21.553757
