shape	C01A	C01F	C01	C01F	C01	C01	C01F	C01	C01F	C01B	C01D	C01B	C01	C01C
cal	S	S	D	D	S	S	S	D	S	S	S	S	S	S
block	1001	1002	1001	1002	1001	1001	1002	1001	1002	1001	1001	1001	1001	1001
133	06:45	07:15	07:30	08:15	08:30	09:20	10:05	10:20	11:05	12:20	13:20	14:10	15:10	16:00
306	~	07:19	~	08:19	~	~	10:09	~	11:09	12:24	~	14:14	~	16:04
307	~	07:21	~	08:21	~	~	10:11	~	11:11	12:27	~	14:17	~	16:07
309	~	07:22	~	08:22	~	~	10:12	~	11:12	~	~	~	~	~
308	~	07:23	~	08:23	~	~	10:13	~	11:13	~	~	~	~	~
411	~	07:26	~	08:26	~	~	10:16	~	11:16	12:31	~	14:21	~	16:11
133	~	07:30	~	08:30	~	~	10:20	~	11:20	12:35	~	14:25	~	~
420	06:47	~	07:32	~	08:32	09:22	~	10:22	~	12:37	13:22	14:27	15:12	16:17
473	06:50	~	07:35	~	08:35	09:25	~	10:25	~	12:40	13:25	14:30	15:15	16:20
426	06:52	~	07:37	~	08:37	09:27	~	10:27	~	12:42	13:27	14:32	15:17	16:22
428	06:54	~	07:39	~	08:39	09:29	~	10:29	~	12:44	13:29	14:34	15:19	16:24
430	06:56	~	07:41	~	08:41	09:31	~	10:31	~	12:46	13:31	14:36	15:21	16:26
290	06:57	~	07:42	~	08:42	09:32	~	10:32	~	12:47	13:32	14:37	15:22	16:27
424	06:58	~	07:43	~	08:43	09:33	~	10:33	~	12:48	13:33	14:38	15:23	16:28
211	07:00	~	07:45	~	08:45	09:35	~	10:35	~	12:50	13:35	14:40	15:25	16:30
419	~	~	~	~	~	~	~	~	~	~	13:37	~	~	~
417	~	~	~	~	~	~	~	~	~	~	13:38	~	~	~
471	~	~	~	~	~	~	~	~	~	~	13:39	~	~	~
469	~	~	~	~	~	~	~	~	~	~	13:40	~	~	~
269	~	~	~	~	~	~	~	~	~	~	13:43	~	~	~
267	~	~	~	~	~	~	~	~	~	~	13:44	~	~	~
265	~	~	~	~	~	~	~	~	~	~	13:46	~	~	~
271	~	~	~	~	~	~	~	~	~	~	13:48	~	~	~
432	~	~	~	~	~	~	~	~	~	~	13:51	~	~	~
436	~	~	~	~	~	~	~	~	~	~	13:52	~	~	~
434	~	~	~	~	~	~	~	~	~	~	13:53	~	~	~
413	~	~	~	~	~	~	~	~	~	~	13:54	~	~	~
415	~	~	~	~	~	~	~	~	~	~	13:56	~	~	~
133	~	~	~	~	~	~	~	~	~	~	14:06	~	~	~
414	07:02	~	07:46	~	08:46	09:36	~	10:36	~	12:52	~	14:42	15:26	16:32
412	07:03	~	07:47	~	08:47	09:37	~	10:37	~	12:53	~	14:43	15:27	16:33
433	07:04	~	07:48	~	08:48	09:38	~	10:38	~	12:54	~	14:44	15:28	16:34
435	~	~	07:49	~	08:49	09:39	~	10:39	~	12:55	~	14:45	15:29	16:35
431	~	~	07:51	~	08:51	09:41	~	10:41	~	12:57	~	14:47	15:31	16:37
272	~	~	07:54	~	08:54	09:44	~	10:44	~	13:00	~	14:50	15:34	16:40
266	~	~	07:56	~	08:56	09:46	~	10:46	~	13:02	~	14:52	15:36	16:42
268	~	~	07:58	~	08:58	09:48	~	10:48	~	13:04	~	14:54	15:38	16:44
270	~	~	08:00	~	09:00	09:50	~	10:50	~	13:06	~	14:56	15:40	16:46
468	~	~	08:01	~	09:01	09:51	~	10:51	~	13:07	~	14:57	15:41	16:47
470	~	~	08:02	~	09:02	09:52	~	10:52	~	13:08	~	14:58	15:42	16:48
416	~	~	08:03	~	09:03	09:53	~	10:53	~	13:09	~	14:59	15:43	16:49
418	~	~	08:04	~	09:04	09:54	~	10:54	~	13:10	~	15:00	15:44	16:50
133	07:15	~	08:13	~	09:13	10:03	~	11:03	~	13:19	~	15:09	15:53	16:59
