cal	D	D	D	D	D	D	D	D	D	C	C	C	C
block	1011	1011	1011	1011	1011	1011	1011	1011	1011	2011	2011	2011	2011
328	06:00	08:00	10:00	12:00	14:00	16:00	18:00	20:00	22:00	08:00	12:00	16:00	20:00
360	06:01	08:01	10:01	12:01	14:01	16:01	18:01	20:01	22:01	08:01	12:01	16:01	20:01
337	06:02	08:02	10:02	12:02	14:02	16:02	18:02	20:02	22:02	08:02	12:02	16:02	20:02
373	06:03	08:03	10:03	12:03	14:03	16:03	18:03	20:03	22:03	08:03	12:03	16:03	20:03
315	06:06	08:06	10:06	12:06	14:06	16:06	18:06	20:06	22:06	08:06	12:06	16:06	20:06
318	06:07	08:07	10:07	12:07	14:07	16:07	18:07	20:07	22:07	08:07	12:07	16:07	20:07
346	06:08	08:08	10:08	12:08	14:08	16:08	18:08	20:08	22:08	08:08	12:08	16:08	20:08
344	06:09	08:09	10:09	12:09	14:09	16:09	18:09	20:09	22:09	08:09	12:09	16:09	20:09
287	06:11	08:11	10:11	12:11	14:11	16:11	18:11	20:11	22:11	08:11	12:11	16:11	20:11
285	06:12	08:12	10:12	12:12	14:12	16:12	18:12	20:12	22:12	08:12	12:12	16:12	20:12
110	06:13	08:13	10:13	12:13	14:13	16:13	18:13	20:13	22:13	08:13	12:13	16:13	20:13
108	06:13	08:13	10:13	12:13	14:13	16:13	18:13	20:13	22:13	08:13	12:13	16:13	20:13
120	06:15	08:15	10:15	12:15	14:15	16:15	18:15	20:15	22:15	08:15	12:15	16:15	20:15
118	06:17	08:17	10:17	12:17	14:17	16:17	18:17	20:17	22:17	08:17	12:17	16:17	20:17
116	06:19	08:19	10:19	12:19	14:19	16:19	18:19	20:19	22:19	08:19	12:19	16:19	20:19
570	06:20	08:20	10:20	12:20	14:20	16:20	18:20	20:20	22:20	08:20	12:20	16:20	20:20
572	06:22	08:22	10:22	12:22	14:22	16:22	18:22	20:22	22:22	08:22	12:22	16:22	20:22
162	06:23	08:23	10:23	12:23	14:23	16:23	18:23	20:23	22:23	08:23	12:23	16:23	20:23
160	06:24	08:24	10:24	12:24	14:24	16:24	18:24	20:24	22:24	08:24	12:24	16:24	20:24
197	06:26	08:26	10:26	12:26	14:26	16:26	18:26	20:26	22:26	08:26	12:26	16:26	20:26
199	06:27	08:27	10:27	12:27	14:27	16:27	18:27	20:27	22:27	08:27	12:27	16:27	20:27
195	06:28	08:28	10:28	12:28	14:28	16:28	18:28	20:28	22:28	08:28	12:28	16:28	20:28
520	06:29	08:29	10:29	12:29	14:29	16:29	18:29	20:29	22:29	08:29	12:29	16:29	20:29
522	06:31	08:31	10:31	12:31	14:31	16:31	18:31	20:31	22:31	08:31	12:31	16:31	20:31
449	06:33	08:33	10:33	12:33	14:33	16:33	18:33	20:33	22:33	08:33	12:33	16:33	20:33
446	06:34	08:34	10:34	12:34	14:34	16:34	18:34	20:34	22:34	08:34	12:34	16:34	20:34
157	06:37	08:37	10:37	12:37	14:37	16:37	18:37	20:37	22:37	08:37	12:37	16:37	20:37
158	06:38	08:38	10:38	12:38	14:38	16:38	18:38	20:38	22:38	08:38	12:38	16:38	20:38
