cal	D	D	D	D	D	D	D	D	D	C	C	C	C	C
block	1011	1011	1011	1011	1011	1011	1011	1011	1011	2011	2011	2011	2011	2011
158	05:00	07:00	09:00	11:00	13:00	15:00	17:00	19:00	21:00	05:00	09:00	13:00	17:00	21:00
156	05:01	07:01	09:01	11:01	13:01	15:01	17:01	19:01	21:01	05:01	09:01	13:01	17:01	21:01
445	05:04	07:04	09:04	11:04	13:04	15:04	17:04	19:04	21:04	05:04	09:04	13:04	17:04	21:04
448	05:05	07:05	09:05	11:05	13:05	15:05	17:05	19:05	21:05	05:05	09:05	13:05	17:05	21:05
447	05:07	07:07	09:07	11:07	13:07	15:07	17:07	19:07	21:07	05:07	09:07	13:07	17:07	21:07
521	05:08	07:08	09:08	11:08	13:08	15:08	17:08	19:08	21:08	05:08	09:08	13:08	17:08	21:08
519	05:09	07:09	09:09	11:09	13:09	15:09	17:09	19:09	21:09	05:09	09:09	13:09	17:09	21:09
194	05:10	07:10	09:10	11:10	13:10	15:10	17:10	19:10	21:10	05:10	09:10	13:10	17:10	21:10
198	05:11	07:11	09:11	11:11	13:11	15:11	17:11	19:11	21:11	05:11	09:11	13:11	17:11	21:11
196	05:12	07:12	09:12	11:12	13:12	15:12	17:12	19:12	21:12	05:12	09:12	13:12	17:12	21:12
159	05:13	07:13	09:13	11:13	13:13	15:13	17:13	19:13	21:13	05:13	09:13	13:13	17:13	21:13
161	05:14	07:14	09:14	11:14	13:14	15:14	17:14	19:14	21:14	05:14	09:14	13:14	17:14	21:14
571	05:16	07:16	09:16	11:16	13:16	15:16	17:16	19:16	21:16	05:16	09:16	13:16	17:16	21:16
569	05:17	07:17	09:17	11:17	13:17	15:17	17:17	19:17	21:17	05:17	09:17	13:17	17:17	21:17
115	05:18	07:18	09:18	11:18	13:18	15:18	17:18	19:18	21:18	05:18	09:18	13:18	17:18	21:18
117	05:18	07:18	09:18	11:18	13:18	15:18	17:18	19:18	21:18	05:18	09:18	13:18	17:18	21:18
119	05:20	07:20	09:20	11:20	13:20	15:20	17:20	19:20	21:20	05:20	09:20	13:20	17:20	21:20
109	05:21	07:21	09:21	11:21	13:21	15:21	17:21	19:21	21:21	05:21	09:21	13:21	17:21	21:21
284	05:22	07:22	09:22	11:22	13:22	15:22	17:22	19:22	21:22	05:22	09:22	13:22	17:22	21:22
286	05:23	07:23	09:23	11:23	13:23	15:23	17:23	19:23	21:23	05:23	09:23	13:23	17:23	21:23
343	05:25	07:25	09:25	11:25	13:25	15:25	17:25	19:25	21:25	05:25	09:25	13:25	17:25	21:25
345	05:26	07:26	09:26	11:26	13:26	15:26	17:26	19:26	21:26	05:26	09:26	13:26	17:26	21:26
319	05:27	07:27	09:27	11:27	13:27	15:27	17:27	19:27	21:27	05:27	09:27	13:27	17:27	21:27
314	05:28	07:28	09:28	11:28	13:28	15:28	17:28	19:28	21:28	05:28	09:28	13:28	17:28	21:28
342	05:30	07:30	09:30	11:30	13:30	15:30	17:30	19:30	21:30	05:30	09:30	13:30	17:30	21:30
336	05:32	07:32	09:32	11:32	13:32	15:32	17:32	19:32	21:32	05:32	09:32	13:32	17:32	21:32
328	05:34	07:34	09:34	11:34	13:34	15:34	17:34	19:34	21:34	05:34	09:34	13:34	17:34	21:34
