cal	D	D	D	D	D	D	D	D	D	D	D	D	D	D	C	C	C	C	C
block	1021	1032	1031	1021	1021	1021	1021	1021	1031	1032	1021	1031	1032	1021	2021	2021	2021	2021	2021
474	05:35	06:35	07:35	08:35	10:05	12:05	14:05	15:35	16:35	17:35	18:35	19:35	20:35	22:05	07:35	10:35	13:35	16:35	20:35
297	05:37	06:37	07:37	08:37	10:07	12:07	14:07	15:37	16:37	17:37	18:37	19:37	20:37	22:07	07:37	10:37	13:37	16:37	20:37
559	05:39	06:39	07:39	08:39	10:09	12:09	14:09	15:39	16:39	17:39	18:39	19:39	20:39	22:09	07:39	10:39	13:39	16:39	20:39
153	05:41	06:41	07:41	08:41	10:11	12:11	14:11	15:41	16:41	17:41	18:41	19:41	20:41	22:11	07:41	10:41	13:41	16:41	20:41
443	05:43	06:43	07:43	08:43	10:13	12:13	14:13	15:43	16:43	17:43	18:43	19:43	20:43	22:13	07:43	10:43	13:43	16:43	20:43
263	05:45	06:45	07:45	08:45	10:15	12:15	14:15	15:45	16:45	17:45	18:45	19:45	20:45	22:15	07:45	10:45	13:45	16:45	20:45
260	05:47	06:47	07:47	08:47	10:17	12:17	14:17	15:47	16:47	17:47	18:47	19:47	20:47	22:17	07:47	10:47	13:47	16:47	20:47
303	05:48	06:48	07:48	08:48	10:18	12:18	14:18	15:48	16:48	17:48	18:48	19:48	20:48	22:18	07:48	10:48	13:48	16:48	20:48
301	05:50	06:50	07:50	08:50	10:20	12:20	14:20	15:50	16:50	17:50	18:50	19:50	20:50	22:20	07:50	10:50	13:50	16:50	20:50
299	05:51	06:51	07:51	08:51	10:21	12:21	14:21	15:51	16:51	17:51	18:51	19:51	20:51	22:21	07:51	10:51	13:51	16:51	20:51
557	05:52	06:52	07:52	08:52	10:22	12:22	14:22	15:52	16:52	17:52	18:52	19:52	20:52	22:22	07:52	10:52	13:52	16:52	20:52
555	05:53	06:53	07:53	08:53	10:23	12:23	14:23	15:53	16:53	17:53	18:53	19:53	20:53	22:23	07:53	10:53	13:53	16:53	20:53
553	05:54	06:54	07:54	08:54	10:24	12:24	14:24	15:54	16:54	17:54	18:54	19:54	20:54	22:24	07:54	10:54	13:54	16:54	20:54
131	05:55	06:55	07:55	08:55	10:25	12:25	14:25	15:55	16:55	17:55	18:55	19:55	20:55	22:25	07:55	10:55	13:55	16:55	20:55
129	05:56	06:56	07:56	08:56	10:26	12:26	14:26	15:56	16:56	17:56	18:56	19:56	20:56	22:26	07:56	10:56	13:56	16:56	20:56
127	05:57	06:57	07:57	08:57	10:27	12:27	14:27	15:57	16:57	17:57	18:57	19:57	20:57	22:27	07:57	10:57	13:57	16:57	20:57
125	05:58	06:58	07:58	08:58	10:28	12:28	14:28	15:58	16:58	17:58	18:58	19:58	20:58	22:28	07:58	10:58	13:58	16:58	20:58
178	05:59	06:59	07:59	08:59	10:29	12:29	14:29	15:59	16:59	17:59	18:59	19:59	20:59	22:29	07:59	10:59	13:59	16:59	20:59
176	06:00	07:00	08:00	09:00	10:30	12:30	14:30	16:00	17:00	18:00	19:00	20:00	21:00	22:30	08:00	11:00	14:00	17:00	21:00
173	06:02	07:02	08:02	09:02	10:32	12:32	14:32	16:02	17:02	18:02	19:02	20:02	21:02	22:32	08:02	11:02	14:02	17:02	21:02
496	06:03	07:03	08:03	09:03	10:33	12:33	14:33	16:03	17:03	18:03	19:03	20:03	21:03	22:33	08:03	11:03	14:03	17:03	21:03
491	06:04	07:04	08:04	09:04	10:34	12:34	14:34	16:04	17:04	18:04	19:04	20:04	21:04	22:34	08:04	11:04	14:04	17:04	21:04
422	06:05	07:05	08:05	09:05	10:35	12:35	14:35	16:05	17:05	18:05	19:05	20:05	21:05	22:35	08:05	11:05	14:05	17:05	21:05
493	06:06	07:06	08:06	09:06	10:36	12:36	14:36	16:06	17:06	18:06	19:06	20:06	21:06	22:36	08:06	11:06	14:06	17:06	21:06
504	06:08	07:08	08:08	09:08	10:38	12:38	14:38	16:08	17:08	18:08	19:08	20:08	21:08	22:38	08:08	11:08	14:08	17:08	21:08
499	06:09	07:09	08:09	09:09	10:39	12:39	14:39	16:09	17:09	18:09	19:09	20:09	21:09	22:39	08:09	11:09	14:09	17:09	21:09
489	06:10	07:10	08:10	09:10	10:40	12:40	14:40	16:10	17:10	18:10	19:10	20:10	21:10	22:40	08:10	11:10	14:10	17:10	21:10
495	06:11	07:11	08:11	09:11	10:41	12:41	14:41	16:11	17:11	18:11	19:11	20:11	21:11	22:41	08:11	11:11	14:11	17:11	21:11
501	06:12	07:12	08:12	09:12	10:42	12:42	14:42	16:12	17:12	18:12	19:12	20:12	21:12	22:42	08:12	11:12	14:12	17:12	21:12
399	06:13	07:13	08:13	09:13	10:43	12:43	14:43	16:13	17:13	18:13	19:13	20:13	21:13	22:43	08:13	11:13	14:13	17:13	21:13
397	06:15	07:15	08:15	09:15	10:45	12:45	14:45	16:15	17:15	18:15	19:15	20:15	21:15	22:45	08:15	11:15	14:15	17:15	21:15
396	06:16	07:16	08:16	09:16	10:46	12:46	14:46	16:16	17:16	18:16	19:16	20:16	21:16	22:46	08:16	11:16	14:16	17:16	21:16
