cal	D	D	D	D	D	D	D	D	D	D	D	D	D	D	C	C	C	C	C
block	1021	1032	1031	1021	1021	1021	1021	1021	1031	1032	1021	1031	1032	1021	2021	2021	2021	2021	2021
396	04:52	05:52	06:52	07:52	09:22	11:22	13:22	14:52	15:52	16:52	17:52	18:52	19:52	21:22	05:52	09:52	12:52	15:52	18:52
398	04:54	05:54	06:54	07:54	09:24	11:24	13:24	14:54	15:54	16:54	17:54	18:54	19:54	21:24	05:54	09:54	12:54	15:54	18:54
500	04:56	05:56	06:56	07:56	09:26	11:26	13:26	14:56	15:56	16:56	17:56	18:56	19:56	21:26	05:56	09:56	12:56	15:56	18:56
494	04:57	05:57	06:57	07:57	09:27	11:27	13:27	14:57	15:57	16:57	17:57	18:57	19:57	21:27	05:57	09:57	12:57	15:57	18:57
488	04:58	05:58	06:58	07:58	09:28	11:28	13:28	14:58	15:58	16:58	17:58	18:58	19:58	21:28	05:58	09:58	12:58	15:58	18:58
498	04:59	05:59	06:59	07:59	09:29	11:29	13:29	14:59	15:59	16:59	17:59	18:59	19:59	21:29	05:59	09:59	12:59	15:59	18:59
503	05:00	06:00	07:00	08:00	09:30	11:30	13:30	15:00	16:00	17:00	18:00	19:00	20:00	21:30	06:00	10:00	13:00	16:00	19:00
490	05:01	06:01	07:01	08:01	09:31	11:31	13:31	15:01	16:01	17:01	18:01	19:01	20:01	21:31	06:01	10:01	13:01	16:01	19:01
423	05:02	06:02	07:02	08:02	09:32	11:32	13:32	15:02	16:02	17:02	18:02	19:02	20:02	21:32	06:02	10:02	13:02	16:02	19:02
492	05:04	06:04	07:04	08:04	09:34	11:34	13:34	15:04	16:04	17:04	18:04	19:04	20:04	21:34	06:04	10:04	13:04	16:04	19:04
502	05:05	06:05	07:05	08:05	09:35	11:35	13:35	15:05	16:05	17:05	18:05	19:05	20:05	21:35	06:05	10:05	13:05	16:05	19:05
497	05:06	06:06	07:06	08:06	09:36	11:36	13:36	15:06	16:06	17:06	18:06	19:06	20:06	21:36	06:06	10:06	13:06	16:06	19:06
174	05:07	06:07	07:07	08:07	09:37	11:37	13:37	15:07	16:07	17:07	18:07	19:07	20:07	21:37	06:07	10:07	13:07	16:07	19:07
177	05:08	06:08	07:08	08:08	09:38	11:38	13:38	15:08	16:08	17:08	18:08	19:08	20:08	21:38	06:08	10:08	13:08	16:08	19:08
179	05:08	06:08	07:08	08:08	09:38	11:38	13:38	15:08	16:08	17:08	18:08	19:08	20:08	21:38	06:08	10:08	13:08	16:08	19:08
126	05:09	06:09	07:09	08:09	09:39	11:39	13:39	15:09	16:09	17:09	18:09	19:09	20:09	21:39	06:09	10:09	13:09	16:09	19:09
128	05:10	06:10	07:10	08:10	09:40	11:40	13:40	15:10	16:10	17:10	18:10	19:10	20:10	21:40	06:10	10:10	13:10	16:10	19:10
130	05:11	06:11	07:11	08:11	09:41	11:41	13:41	15:11	16:11	17:11	18:11	19:11	20:11	21:41	06:11	10:11	13:11	16:11	19:11
132	05:12	06:12	07:12	08:12	09:42	11:42	13:42	15:12	16:12	17:12	18:12	19:12	20:12	21:42	06:12	10:12	13:12	16:12	19:12
554	05:13	06:13	07:13	08:13	09:43	11:43	13:43	15:13	16:13	17:13	18:13	19:13	20:13	21:43	06:13	10:13	13:13	16:13	19:13
556	05:14	06:14	07:14	08:14	09:44	11:44	13:44	15:14	16:14	17:14	18:14	19:14	20:14	21:44	06:14	10:14	13:14	16:14	19:14
558	05:15	06:15	07:15	08:15	09:45	11:45	13:45	15:15	16:15	17:15	18:15	19:15	20:15	21:45	06:15	10:15	13:15	16:15	19:15
300	05:16	06:16	07:16	08:16	09:46	11:46	13:46	15:16	16:16	17:16	18:16	19:16	20:16	21:46	06:16	10:16	13:16	16:16	19:16
302	05:17	06:17	07:17	08:17	09:47	11:47	13:47	15:17	16:17	17:17	18:17	19:17	20:17	21:47	06:17	10:17	13:17	16:17	19:17
304	05:18	06:18	07:18	08:18	09:48	11:48	13:48	15:18	16:18	17:18	18:18	19:18	20:18	21:48	06:18	10:18	13:18	16:18	19:18
261	05:20	06:20	07:20	08:20	09:50	11:50	13:50	15:20	16:20	17:20	18:20	19:20	20:20	21:50	06:20	10:20	13:20	16:20	19:20
264	05:22	06:22	07:22	08:22	09:52	11:52	13:52	15:22	16:22	17:22	18:22	19:22	20:22	21:52	06:22	10:22	13:22	16:22	19:22
444	05:24	06:24	07:24	08:24	09:54	11:54	13:54	15:24	16:24	17:24	18:24	19:24	20:24	21:54	06:24	10:24	13:24	16:24	19:24
154	05:26	06:26	07:26	08:26	09:56	11:56	13:56	15:26	16:26	17:26	18:26	19:26	20:26	21:56	06:26	10:26	13:26	16:26	19:26
560	05:28	06:28	07:28	08:28	09:58	11:58	13:58	15:28	16:28	17:28	18:28	19:28	20:28	21:58	06:28	10:28	13:28	16:28	19:28
298	05:30	06:30	07:30	08:30	10:00	12:00	14:00	15:30	16:30	17:30	18:30	19:30	20:30	22:00	06:30	10:30	13:30	16:30	19:30
474	05:32	06:32	07:32	08:32	10:02	12:02	14:02	15:32	16:32	17:32	18:32	19:32	20:32	22:02	06:32	10:32	13:32	16:32	19:32
