cal	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	C	C	C	C	C
block	1032	1031	1021	1032	1031	1031	1031	1031	1032	1021	1031	1032	1021	1031	1031	2021	2021	2021	2021	2021
396	04:22	05:22	06:22	07:22	08:22	10:22	12:22	14:22	15:22	16:22	17:22	18:22	19:22	20:22	22:22	08:22	11:22	14:22	17:22	21:22
398	04:24	05:24	06:24	07:24	08:24	10:24	12:24	14:24	15:24	16:24	17:24	18:24	19:24	20:24	22:24	08:24	11:24	14:24	17:24	21:24
500	04:26	05:26	06:26	07:26	08:26	10:26	12:26	14:26	15:26	16:26	17:26	18:26	19:26	20:26	22:26	08:26	11:26	14:26	17:26	21:26
494	04:27	05:27	06:27	07:27	08:27	10:27	12:27	14:27	15:27	16:27	17:27	18:27	19:27	20:27	22:27	08:27	11:27	14:27	17:27	21:27
488	04:28	05:28	06:28	07:28	08:28	10:28	12:28	14:28	15:28	16:28	17:28	18:28	19:28	20:28	22:28	08:28	11:28	14:28	17:28	21:28
498	04:29	05:29	06:29	07:29	08:29	10:29	12:29	14:29	15:29	16:29	17:29	18:29	19:29	20:29	22:29	08:29	11:29	14:29	17:29	21:29
503	04:30	05:30	06:30	07:30	08:30	10:30	12:30	14:30	15:30	16:30	17:30	18:30	19:30	20:30	22:30	08:30	11:30	14:30	17:30	21:30
490	04:31	05:31	06:31	07:31	08:31	10:31	12:31	14:31	15:31	16:31	17:31	18:31	19:31	20:31	22:31	08:31	11:31	14:31	17:31	21:31
423	04:32	05:32	06:32	07:32	08:32	10:32	12:32	14:32	15:32	16:32	17:32	18:32	19:32	20:32	22:32	08:32	11:32	14:32	17:32	21:32
492	04:34	05:34	06:34	07:34	08:34	10:34	12:34	14:34	15:34	16:34	17:34	18:34	19:34	20:34	22:34	08:34	11:34	14:34	17:34	21:34
502	04:35	05:35	06:35	07:35	08:35	10:35	12:35	14:35	15:35	16:35	17:35	18:35	19:35	20:35	22:35	08:35	11:35	14:35	17:35	21:35
497	04:36	05:36	06:36	07:36	08:36	10:36	12:36	14:36	15:36	16:36	17:36	18:36	19:36	20:36	22:36	08:36	11:36	14:36	17:36	21:36
174	04:37	05:37	06:37	07:37	08:37	10:37	12:37	14:37	15:37	16:37	17:37	18:37	19:37	20:37	22:37	08:37	11:37	14:37	17:37	21:37
177	04:38	05:38	06:38	07:38	08:38	10:38	12:38	14:38	15:38	16:38	17:38	18:38	19:38	20:38	22:38	08:38	11:38	14:38	17:38	21:38
180	04:39	05:39	06:39	07:39	08:39	10:39	12:39	14:39	15:39	16:39	17:39	18:39	19:39	20:39	22:39	08:39	11:39	14:39	17:39	21:39
172	04:41	05:41	06:41	07:41	08:41	10:41	12:41	14:41	15:41	16:41	17:41	18:41	19:41	20:41	22:41	08:41	11:41	14:41	17:41	21:41
210	04:43	05:43	06:43	07:43	08:43	10:43	12:43	14:43	15:43	16:43	17:43	18:43	19:43	20:43	22:43	08:43	11:43	14:43	17:43	21:43
206	04:44	05:44	06:44	07:44	08:44	10:44	12:44	14:44	15:44	16:44	17:44	18:44	19:44	20:44	22:44	08:44	11:44	14:44	17:44	21:44
421	04:46	05:46	06:46	07:46	08:46	10:46	12:46	14:46	15:46	16:46	17:46	18:46	19:46	20:46	22:46	08:46	11:46	14:46	17:46	21:46
205	04:48	05:48	06:48	07:48	08:48	10:48	12:48	14:48	15:48	16:48	17:48	18:48	19:48	20:48	22:48	08:48	11:48	14:48	17:48	21:48
208	04:49	05:49	06:49	07:49	08:49	10:49	12:49	14:49	15:49	16:49	17:49	18:49	19:49	20:49	22:49	08:49	11:49	14:49	17:49	21:49
257	04:50	05:50	06:50	07:50	08:50	10:50	12:50	14:50	15:50	16:50	17:50	18:50	19:50	20:50	22:50	08:50	11:50	14:50	17:50	21:50
259	04:50	05:50	06:50	07:50	08:50	10:50	12:50	14:50	15:50	16:50	17:50	18:50	19:50	20:50	22:50	08:50	11:50	14:50	17:50	21:50
289	04:51	05:51	06:51	07:51	08:51	10:51	12:51	14:51	15:51	16:51	17:51	18:51	19:51	20:51	22:51	08:51	11:51	14:51	17:51	21:51
387	04:52	05:52	06:52	07:52	08:52	10:52	12:52	14:52	15:52	16:52	17:52	18:52	19:52	20:52	22:52	08:52	11:52	14:52	17:52	21:52
385	04:53	05:53	06:53	07:53	08:53	10:53	12:53	14:53	15:53	16:53	17:53	18:53	19:53	20:53	22:53	08:53	11:53	14:53	17:53	21:53
141	04:54	05:54	06:54	07:54	08:54	10:54	12:54	14:54	15:54	16:54	17:54	18:54	19:54	20:54	22:54	08:54	11:54	14:54	17:54	21:54
137	04:55	05:55	06:55	07:55	08:55	10:55	12:55	14:55	15:55	16:55	17:55	18:55	19:55	20:55	22:55	08:55	11:55	14:55	17:55	21:55
139	04:56	05:56	06:56	07:56	08:56	10:56	12:56	14:56	15:56	16:56	17:56	18:56	19:56	20:56	22:56	08:56	11:56	14:56	17:56	21:56
260	04:59	05:59	06:59	07:59	08:59	10:59	12:59	14:59	15:59	16:59	17:59	18:59	19:59	20:59	22:59	08:59	11:59	14:59	17:59	21:59
305	05:00	06:00	07:00	08:00	09:00	11:00	13:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	23:00	09:00	12:00	15:00	18:00	22:00
