shape	P04A	P04A	P04A	P04A	P04	P04	P04	P04	P04
block	1041	1041	1041	1041	1041	1041	1041	1041	1041
328	06:21	08:21	10:21	12:21	14:21	16:21	18:21	20:21	22:21
360	06:22	08:22	10:22	12:22	14:22	16:22	18:22	20:22	22:22
337	06:23	08:23	10:23	12:23	14:23	16:23	18:23	20:23	22:23
373	06:24	08:24	10:24	12:24	14:24	16:24	18:24	20:24	22:24
315	06:27	08:27	10:27	12:27	14:27	16:27	18:27	20:27	22:27
371	06:28	08:28	10:28	12:28	14:28	16:28	18:28	20:28	22:28
321	06:29	08:29	10:29	12:29	14:29	16:29	18:29	20:29	22:29
333	06:30	08:30	10:30	12:30	14:30	16:30	18:30	20:30	22:30
335	06:31	08:31	10:31	12:31	14:31	16:31	18:31	20:31	22:31
350	06:32	08:32	10:32	12:32	14:32	16:32	18:32	20:32	22:32
546	06:33	08:33	10:33	12:33	14:33	16:33	18:33	20:33	22:33
182	06:35	08:35	10:35	12:35	14:35	16:35	18:35	20:35	22:35
184	06:36	08:36	10:36	12:36	14:36	16:36	18:36	20:36	22:36
114	06:37	08:37	10:37	12:37	14:37	16:37	18:37	20:37	22:37
112	06:38	08:38	10:38	12:38	14:38	16:38	18:38	20:38	22:38
510	06:40	08:40	10:40	12:40	14:40	16:40	18:40	20:40	22:40
512	06:41	08:41	10:41	12:41	14:41	16:41	18:41	20:41	22:41
540	06:42	08:42	10:42	12:42	14:42	16:42	18:42	20:42	22:42
538	06:43	08:43	10:43	12:43	14:43	16:43	18:43	20:43	22:43
536	06:44	08:44	10:44	12:44	14:44	16:44	18:44	20:44	22:44
292	06:46	08:46	10:46	12:46	14:46	16:46	18:46	20:46	22:46
474	06:49	08:49	10:49	12:49	14:49	16:49	18:49	20:49	22:49
442	~	~	~	~	14:50	16:50	18:50	20:50	22:50
440	~	~	~	~	14:51	16:51	18:51	20:51	22:51
438	~	~	~	~	14:52	16:52	18:52	20:52	22:52
410	~	~	~	~	14:53	16:53	18:53	20:53	22:53
467	~	~	~	~	14:54	16:54	18:54	20:54	22:54
465	~	~	~	~	14:55	16:55	18:55	20:55	22:55
463	~	~	~	~	14:56	16:56	18:56	20:56	22:56
552	~	~	~	~	14:58	16:58	18:58	20:58	22:58
550	~	~	~	~	14:59	16:59	18:59	20:59	22:59
283	06:53	08:53	10:53	12:53	~	~	~	~	~
548	~	~	~	~	15:00	17:00	19:00	21:00	23:00
547	06:54	08:54	10:54	12:54	~	~	~	~	~
