block	1051	1051	1051	1051	1051	1051	1051	1051	1051
328	06:30	08:30	10:30	12:30	14:30	16:30	18:30	20:30	22:30
360	06:31	08:31	10:31	12:31	14:31	16:31	18:31	20:31	22:31
337	06:32	08:32	10:32	12:32	14:32	16:32	18:32	20:32	22:32
357	06:32	08:32	10:32	12:32	14:32	16:32	18:32	20:32	22:32
353	06:34	08:34	10:34	12:34	14:34	16:34	18:34	20:34	22:34
329	06:36	08:36	10:36	12:36	14:36	16:36	18:36	20:36	22:36
367	06:39	08:39	10:39	12:39	14:39	16:39	18:39	20:39	22:39
366	06:40	08:40	10:40	12:40	14:40	16:40	18:40	20:40	22:40
193	06:41	08:41	10:41	12:41	14:41	16:41	18:41	20:41	22:41
191	06:42	08:42	10:42	12:42	14:42	16:42	18:42	20:42	22:42
152	06:42	08:42	10:42	12:42	14:42	16:42	18:42	20:42	22:42
214	06:43	08:43	10:43	12:43	14:43	16:43	18:43	20:43	22:43
216	06:45	08:45	10:45	12:45	14:45	16:45	18:45	20:45	22:45
311	06:46	08:46	10:46	12:46	14:46	16:46	18:46	20:46	22:46
395	06:48	08:48	10:48	12:48	14:48	16:48	18:48	20:48	22:48
534	06:50	08:50	10:50	12:50	14:50	16:50	18:50	20:50	22:50
201	06:51	08:51	10:51	12:51	14:51	16:51	18:51	20:51	22:51
218	06:52	08:52	10:52	12:52	14:52	16:52	18:52	20:52	22:52
542	06:53	08:53	10:53	12:53	14:53	16:53	18:53	20:53	22:53
203	06:54	08:54	10:54	12:54	14:54	16:54	18:54	20:54	22:54
204	06:56	08:56	10:56	12:56	14:56	16:56	18:56	20:56	22:56
