block	1061	1061	1061	1061	1061	1061	1061	1061
328	06:05	08:05	10:05	12:05	14:05	16:05	18:05	20:05
360	06:06	08:06	10:06	12:06	14:06	16:06	18:06	20:06
337	06:07	08:07	10:07	12:07	14:07	16:07	18:07	20:07
373	06:08	08:08	10:08	12:08	14:08	16:08	18:08	20:08
351	06:10	08:10	10:10	12:10	14:10	16:10	18:10	20:10
331	06:11	08:11	10:11	12:11	14:11	16:11	18:11	20:11
374	06:13	08:13	10:13	12:13	14:13	16:13	18:13	20:13
482	06:14	08:14	10:14	12:14	14:14	16:14	18:14	20:14
483	06:15	08:15	10:15	12:15	14:15	16:15	18:15	20:15
485	06:16	08:16	10:16	12:16	14:16	16:16	18:16	20:16
339	06:19	08:19	10:19	12:19	14:19	16:19	18:19	20:19
562	06:21	08:21	10:21	12:21	14:21	16:21	18:21	20:21
564	06:23	08:23	10:23	12:23	14:23	16:23	18:23	20:23
232	06:26	08:26	10:26	12:26	14:26	16:26	18:26	20:26
135	06:27	08:27	10:27	12:27	14:27	16:27	18:27	20:27
514	06:29	08:29	10:29	12:29	14:29	16:29	18:29	20:29
451	06:31	08:31	10:31	12:31	14:31	16:31	18:31	20:31
150	06:33	08:33	10:33	12:33	14:33	16:33	18:33	20:33
148	06:34	08:34	10:34	12:34	14:34	16:34	18:34	20:34
275	06:35	08:35	10:35	12:35	14:35	16:35	18:35	20:35
277	06:36	08:36	10:36	12:36	14:36	16:36	18:36	20:36
166	06:38	08:38	10:38	12:38	14:38	16:38	18:38	20:38
164	06:39	08:39	10:39	12:39	14:39	16:39	18:39	20:39
170	06:40	08:40	10:40	12:40	14:40	16:40	18:40	20:40
168	06:42	08:42	10:42	12:42	14:42	16:42	18:42	20:42
401	06:45	08:45	10:45	12:45	14:45	16:45	18:45	20:45
403	06:47	08:47	10:47	12:47	14:47	16:47	18:47	20:47
155	06:50	08:50	10:50	12:50	14:50	16:50	18:50	20:50
