cal	D	D	D	D	D	D	D	D	D	D	C	C	C	C	C
block	1071	1071	1071	1071	1071	1071	1071	1071	1071	1071	2071	2071	2071	2071	2071
328	05:55	07:55	09:55	11:55	13:55	15:55	17:55	19:55	21:55	23:55	06:55	10:55	14:55	18:55	22:55
360	05:56	07:56	09:56	11:56	13:56	15:56	17:56	19:56	21:56	23:56	06:56	10:56	14:56	18:56	22:56
337	05:57	07:57	09:57	11:57	13:57	15:57	17:57	19:57	21:57	23:57	06:57	10:57	14:57	18:57	22:57
357	05:57	07:57	09:57	11:57	13:57	15:57	17:57	19:57	21:57	23:57	06:57	10:57	14:57	18:57	22:57
355	05:59	07:59	09:59	11:59	13:59	15:59	17:59	19:59	21:59	23:59	06:59	10:59	14:59	18:59	22:59
341	06:03	08:03	10:03	12:03	14:03	16:03	18:03	20:03	22:03	00:03	07:03	11:03	15:03	19:03	23:03
362	06:03	08:03	10:03	12:03	14:03	16:03	18:03	20:03	22:03	00:03	07:03	11:03	15:03	19:03	23:03
325	06:04	08:04	10:04	12:04	14:04	16:04	18:04	20:04	22:04	00:04	07:04	11:04	15:04	19:04	23:04
359	06:05	08:05	10:05	12:05	14:05	16:05	18:05	20:05	22:05	00:05	07:05	11:05	15:05	19:05	23:05
255	06:07	08:07	10:07	12:07	14:07	16:07	18:07	20:07	22:07	00:07	07:07	11:07	15:07	19:07	23:07
476	06:07	08:07	10:07	12:07	14:07	16:07	18:07	20:07	22:07	00:07	07:07	11:07	15:07	19:07	23:07
480	06:08	08:08	10:08	12:08	14:08	16:08	18:08	20:08	22:08	00:08	07:08	11:08	15:08	19:08	23:08
478	06:09	08:09	10:09	12:09	14:09	16:09	18:09	20:09	22:09	00:09	07:09	11:09	15:09	19:09	23:09
379	06:11	08:11	10:11	12:11	14:11	16:11	18:11	20:11	22:11	00:11	07:11	11:11	15:11	19:11	23:11
377	06:13	08:13	10:13	12:13	14:13	16:13	18:13	20:13	22:13	00:13	07:13	11:13	15:13	19:13	23:13
107	06:14	08:14	10:14	12:14	14:14	16:14	18:14	20:14	22:14	00:14	07:14	11:14	15:14	19:14	23:14
105	06:15	08:15	10:15	12:15	14:15	16:15	18:15	20:15	22:15	00:15	07:15	11:15	15:15	19:15	23:15
103	06:16	08:16	10:16	12:16	14:16	16:16	18:16	20:16	22:16	00:16	07:16	11:16	15:16	19:16	23:16
222	06:17	08:17	10:17	12:17	14:17	16:17	18:17	20:17	22:17	00:17	07:17	11:17	15:17	19:17	23:17
220	06:18	08:18	10:18	12:18	14:18	16:18	18:18	20:18	22:18	00:18	07:18	11:18	15:18	19:18	23:18
224	06:20	08:20	10:20	12:20	14:20	16:20	18:20	20:20	22:20	00:20	07:20	11:20	15:20	19:20	23:20
506	06:23	08:23	10:23	12:23	14:23	16:23	18:23	20:23	22:23	00:23	07:23	11:23	15:23	19:23	23:23
461	06:24	08:24	10:24	12:24	14:24	16:24	18:24	20:24	22:24	00:24	07:24	11:24	15:24	19:24	23:24
459	06:25	08:25	10:25	12:25	14:25	16:25	18:25	20:25	22:25	00:25	07:25	11:25	15:25	19:25	23:25
528	06:26	08:26	10:26	12:26	14:26	16:26	18:26	20:26	22:26	00:26	07:26	11:26	15:26	19:26	23:26
530	06:27	08:27	10:27	12:27	14:27	16:27	18:27	20:27	22:27	00:27	07:27	11:27	15:27	19:27	23:27
532	06:29	08:29	10:29	12:29	14:29	16:29	18:29	20:29	22:29	00:29	07:29	11:29	15:29	19:29	23:29
526	06:30	08:30	10:30	12:30	14:30	16:30	18:30	20:30	22:30	00:30	07:30	11:30	15:30	19:30	23:30
518	06:31	08:31	10:31	12:31	14:31	16:31	18:31	20:31	22:31	00:31	07:31	11:31	15:31	19:31	23:31
516	06:32	08:32	10:32	12:32	14:32	16:32	18:32	20:32	22:32	00:32	07:32	11:32	15:32	19:32	23:32
393	06:33	08:33	10:33	12:33	14:33	16:33	18:33	20:33	22:33	00:33	07:33	11:33	15:33	19:33	23:33
391	06:34	08:34	10:34	12:34	14:34	16:34	18:34	20:34	22:34	00:34	07:34	11:34	15:34	19:34	23:34
389	06:35	08:35	10:35	12:35	14:35	16:35	18:35	20:35	22:35	00:35	07:35	11:35	15:35	19:35	23:35
487	06:37	08:37	10:37	12:37	14:37	16:37	18:37	20:37	22:37	00:37	07:37	11:37	15:37	19:37	23:37
253	06:39	08:39	10:39	12:39	14:39	16:39	18:39	20:39	22:39	00:39	07:39	11:39	15:39	19:39	23:39
251	06:40	08:40	10:40	12:40	14:40	16:40	18:40	20:40	22:40	00:40	07:40	11:40	15:40	19:40	23:40
453	06:42	08:42	10:42	12:42	14:42	16:42	18:42	20:42	22:42	00:42	07:42	11:42	15:42	19:42	23:42
452	06:43	08:43	10:43	12:43	14:43	16:43	18:43	20:43	22:43	00:43	07:43	11:43	15:43	19:43	23:43
187	06:45	08:45	10:45	12:45	14:45	16:45	18:45	20:45	22:45	00:45	07:45	11:45	15:45	19:45	23:45
185	06:47	08:47	10:47	12:47	14:47	16:47	18:47	20:47	22:47	00:47	07:47	11:47	15:47	19:47	23:47
