shape	P08	P08A	P08	P08A	P08	P08A	P08	P08A	P08	P08A	P08	P08A	P08	P08A	P08	P08A	P08	P08A	P08S	P08A	P08	P08A	P08	P08A	P08	P08A	P08	P08A	P08S
cal	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	C	C	C	C	C	C	C	C	C	C
block	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	2081	2081	2081	2081	2081	2081	2081	2081	2081	2081
328	04:55	05:55	06:55	07:55	08:55	09:55	10:55	11:55	12:55	13:55	14:55	15:55	16:55	17:55	18:55	19:55	20:55	21:55	22:55	04:55	06:55	08:55	10:55	12:55	14:55	16:55	18:55	20:55	22:55
360	04:56	05:56	06:56	07:56	08:56	09:56	10:56	11:56	12:56	13:56	14:56	15:56	16:56	17:56	18:56	19:56	20:56	21:56	22:56	04:56	06:56	08:56	10:56	12:56	14:56	16:56	18:56	20:56	22:56
337	04:57	05:57	06:57	07:57	08:57	09:57	10:57	11:57	12:57	13:57	14:57	15:57	16:57	17:57	18:57	19:57	20:57	21:57	22:57	04:57	06:57	08:57	10:57	12:57	14:57	16:57	18:57	20:57	22:57
357	04:57	05:57	06:57	07:57	08:57	09:57	10:57	11:57	12:57	13:57	14:57	15:57	16:57	17:57	18:57	19:57	20:57	21:57	22:57	04:57	06:57	08:57	10:57	12:57	14:57	16:57	18:57	20:57	22:57
353	04:59	05:59	06:59	07:59	08:59	09:59	10:59	11:59	12:59	13:59	14:59	15:59	16:59	17:59	18:59	19:59	20:59	21:59	22:59	04:59	06:59	08:59	10:59	12:59	14:59	16:59	18:59	20:59	22:59
322	05:00	06:00	07:00	08:00	09:00	10:00	11:00	12:00	13:00	14:00	15:00	16:00	17:00	18:00	19:00	20:00	21:00	22:00	23:00	05:00	07:00	09:00	11:00	13:00	15:00	17:00	19:00	21:00	23:00
370	05:01	06:01	07:01	08:01	09:01	10:01	11:01	12:01	13:01	14:01	15:01	16:01	17:01	18:01	19:01	20:01	21:01	22:01	23:01	05:01	07:01	09:01	11:01	13:01	15:01	17:01	19:01	21:01	23:01
327	05:02	06:02	07:02	08:02	09:02	10:02	11:02	12:02	13:02	14:02	15:02	16:02	17:02	18:02	19:02	20:02	21:02	22:02	23:02	05:02	07:02	09:02	11:02	13:02	15:02	17:02	19:02	21:02	23:02
347	05:03	06:03	07:03	08:03	09:03	10:03	11:03	12:03	13:03	14:03	15:03	16:03	17:03	18:03	19:03	20:03	21:03	22:03	23:03	05:03	07:03	09:03	11:03	13:03	15:03	17:03	19:03	21:03	23:03
364	05:04	06:04	07:04	08:04	09:04	10:04	11:04	12:04	13:04	14:04	15:04	16:04	17:04	18:04	19:04	20:04	21:04	22:04	23:04	05:04	07:04	09:04	11:04	13:04	15:04	17:04	19:04	21:04	23:04
317	05:06	06:06	07:06	08:06	09:06	10:06	11:06	12:06	13:06	14:06	15:06	16:06	17:06	18:06	19:06	20:06	21:06	22:06	23:06	05:06	07:06	09:06	11:06	13:06	15:06	17:06	19:06	21:06	23:06
405	05:07	06:07	07:07	08:07	09:07	10:07	11:07	12:07	13:07	14:07	15:07	16:07	17:07	18:07	19:07	20:07	21:07	22:07	23:07	05:07	07:07	09:07	11:07	13:07	15:07	17:07	19:07	21:07	23:07
407	05:09	~	07:09	~	09:09	~	11:09	~	13:09	~	15:09	~	17:09	~	19:09	~	21:09	~	23:09	~	07:09	~	11:09	~	15:09	~	19:09	~	23:09
408	~	06:08	~	08:08	~	10:08	~	12:08	~	14:08	~	16:08	~	18:08	~	20:08	~	22:08	~	05:08	~	09:08	~	13:08	~	17:08	~	21:08	~
