shape	P08RS	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08RS	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08R	P08RA	P08R
cal	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	C	C	C	C	C	C	C	C	C	C
block	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	1082	1081	2081	2081	2081	2081	2081	2081	2081	2081	2081	2081
188	~	04:50	05:52	06:50	07:52	08:50	09:52	10:50	11:52	12:50	13:52	14:50	15:52	16:50	17:52	18:50	19:52	20:50	21:52	~	05:50	07:52	09:50	11:52	13:50	15:52	17:50	19:52	21:50
567	~	04:51	05:53	06:51	07:53	08:51	09:53	10:51	11:53	12:51	13:53	14:51	15:53	16:51	17:53	18:51	19:53	20:51	21:53	~	05:51	07:53	09:51	11:53	13:51	15:53	17:51	19:53	21:51
565	~	04:53	05:55	06:53	07:55	08:53	09:55	10:53	11:55	12:53	13:55	14:53	15:55	16:53	17:55	18:53	19:55	20:53	21:55	~	05:53	07:55	09:53	11:55	13:53	15:55	17:53	19:55	21:53
295	~	04:54	05:56	06:54	07:56	08:54	09:56	10:54	11:56	12:54	13:56	14:54	15:56	16:54	17:56	18:54	19:56	20:54	21:56	~	05:54	07:56	09:54	11:56	13:54	15:56	17:54	19:56	21:54
273	~	04:55	05:57	06:55	07:57	08:55	09:57	10:55	11:57	12:55	13:57	14:55	15:57	16:55	17:57	18:55	19:57	20:55	21:57	~	05:55	07:57	09:55	11:57	13:55	15:57	17:55	19:57	21:55
507	~	04:57	~	06:57	~	08:57	~	10:57	~	12:57	~	14:57	~	16:57	~	18:57	~	20:57	~	~	05:57	~	09:57	~	13:57	~	17:57	~	21:57
523	~	05:00	~	07:00	~	09:00	~	11:00	~	13:00	~	15:00	~	17:00	~	19:00	~	21:00	~	~	06:00	~	10:00	~	14:00	~	18:00	~	22:00
380	~	05:02	~	07:02	~	09:02	~	11:02	~	13:02	~	15:02	~	17:02	~	19:02	~	21:02	~	~	06:02	~	10:02	~	14:02	~	18:02	~	22:02
382	~	05:03	~	07:03	~	09:03	~	11:03	~	13:03	~	15:03	~	17:03	~	19:03	~	21:03	~	~	06:03	~	10:03	~	14:03	~	18:03	~	22:03
312	~	05:05	~	07:05	~	09:05	~	11:05	~	13:05	~	15:05	~	17:05	~	19:05	~	21:05	~	~	06:05	~	10:05	~	14:05	~	18:05	~	22:05
242	~	05:09	~	07:09	~	09:09	~	11:09	~	13:09	~	15:09	~	17:09	~	19:09	~	21:09	~	~	06:09	~	10:09	~	14:09	~	18:09	~	22:09
240	~	05:10	~	07:10	~	09:10	~	11:10	~	13:10	~	15:10	~	17:10	~	19:10	~	21:10	~	~	06:10	~	10:10	~	14:10	~	18:10	~	22:10
142	~	~	05:58	~	07:58	~	09:58	~	11:58	~	13:58	~	15:58	~	17:58	~	19:58	~	21:58	~	~	07:58	~	11:58	~	15:58	~	19:58	~
144	~	~	05:59	~	07:59	~	09:59	~	11:59	~	13:59	~	15:59	~	17:59	~	19:59	~	21:59	~	~	07:59	~	11:59	~	15:59	~	19:59	~
543	~	~	06:00	~	08:00	~	10:00	~	12:00	~	14:00	~	16:00	~	18:00	~	20:00	~	22:00	~	~	08:00	~	12:00	~	16:00	~	20:00	~
244	~	~	06:02	~	08:02	~	10:02	~	12:02	~	14:02	~	16:02	~	18:02	~	20:02	~	22:02	~	~	08:02	~	12:02	~	16:02	~	20:02	~
246	~	~	06:03	~	08:03	~	10:03	~	12:03	~	14:03	~	16:03	~	18:03	~	20:03	~	22:03	~	~	08:03	~	12:03	~	16:03	~	20:03	~
