block	61	61	61	61	61	61
144	05:15	07:45	10:45	13:45	16:15	18:45
145	05:17	07:47	10:47	13:47	16:17	18:47
247	05:18	07:48	10:48	13:48	16:18	18:48
146	05:19	07:49	10:49	13:49	16:19	18:49
248	05:20	07:50	10:50	13:50	16:20	18:50
147	05:22	07:52	10:52	13:52	16:22	18:52
249	05:24	07:54	10:54	13:54	16:24	18:54
250	05:25	07:55	10:55	13:55	16:25	18:55
251	05:28	07:58	10:58	13:58	16:28	18:58
252	05:30	08:00	11:00	14:00	16:30	19:00
253	05:31	08:01	11:01	14:01	16:31	19:01
254	05:32	08:02	11:02	14:02	16:32	19:02
255	05:33	08:03	11:03	14:03	16:33	19:03
256	05:34	08:04	11:04	14:04	16:34	19:04
257	05:39	08:09	11:09	14:09	16:39	19:09
258	05:40	08:10	11:10	14:10	16:40	19:10
259	05:43	08:13	11:13	14:13	16:43	19:13
260	05:45	08:15	11:15	14:15	16:45	19:15
261	05:48	08:18	11:18	14:18	16:48	19:18
262	05:49	08:19	11:19	14:19	16:49	19:19
263	05:50	08:20	11:20	14:20	16:50	19:20
264	05:51	08:21	11:21	14:21	16:51	19:21
265	05:52	08:22	11:22	14:22	16:52	19:22
266	05:53	08:23	11:23	14:23	16:53	19:23
267	05:54	08:24	11:24	14:24	16:54	19:24
268	05:56	08:26	11:26	14:26	16:56	19:26
222	05:57	08:27	11:27	14:27	16:57	19:27
223	05:59	08:29	11:29	14:29	16:59	19:29
224	06:00	08:30	11:30	14:30	17:00	19:30
269	06:01	08:31	11:31	14:31	17:01	19:31
270	06:03	08:33	11:33	14:33	17:03	19:33
271	06:04	08:34	11:34	14:34	17:04	19:34
186	06:04	08:34	11:34	14:34	17:04	19:34
187	06:05	08:35	11:35	14:35	17:05	19:35
188	06:06	08:36	11:36	14:36	17:06	19:36
189	06:06	08:36	11:36	14:36	17:06	19:36
190	06:07	08:37	11:37	14:37	17:07	19:37
191	06:08	08:38	11:38	14:38	17:08	19:38
192	06:09	08:39	11:39	14:39	17:09	19:39
272	06:11	08:41	11:41	14:41	17:11	19:41
273	06:13	08:43	11:43	14:43	17:13	19:43
274	06:14	08:44	11:44	14:44	17:14	19:44
275	06:18	08:48	11:48	14:48	17:18	19:48
184	06:19	08:49	11:49	14:49	17:19	19:49
213	06:20	08:50	11:50	14:50	17:20	19:50
