block	61	61	61	61	61	61
213	06:30	09:05	12:05	15:05	17:35	20:05
183	06:31	09:06	12:06	15:06	17:36	20:06
214	06:32	09:07	12:07	15:07	17:37	20:07
215	06:34	09:09	12:09	15:09	17:39	20:09
216	06:35	09:10	12:10	15:10	17:40	20:10
217	06:37	09:12	12:12	15:12	17:42	20:12
218	06:38	09:13	12:13	15:13	17:43	20:13
175	06:40	09:15	12:15	15:15	17:45	20:15
176	06:41	09:16	12:16	15:16	17:46	20:16
177	06:42	09:17	12:17	15:17	17:47	20:17
178	06:42	09:17	12:17	15:17	17:47	20:17
179	06:43	09:18	12:18	15:18	17:48	20:18
180	06:44	09:19	12:19	15:19	17:49	20:19
181	06:44	09:19	12:19	15:19	17:49	20:19
219	06:45	09:20	12:20	15:20	17:50	20:20
220	06:46	09:21	12:21	15:21	17:51	20:21
221	06:48	09:23	12:23	15:23	17:53	20:23
222	06:49	09:24	12:24	15:24	17:54	20:24
223	06:50	09:25	12:25	15:25	17:55	20:25
224	06:52	09:27	12:27	15:27	17:57	20:27
225	06:54	09:29	12:29	15:29	17:59	20:29
226	06:54	09:29	12:29	15:29	17:59	20:29
227	06:55	09:30	12:30	15:30	18:00	20:30
228	06:57	09:32	12:32	15:32	18:02	20:32
229	06:57	09:32	12:32	15:32	18:02	20:32
230	06:59	09:34	12:34	15:34	18:04	20:34
231	07:00	09:35	12:35	15:35	18:05	20:35
232	07:01	09:36	12:36	15:36	18:06	20:36
233	07:03	09:38	12:38	15:38	18:08	20:38
234	07:04	09:39	12:39	15:39	18:09	20:39
235	07:05	09:40	12:40	15:40	18:10	20:40
236	07:07	09:42	12:42	15:42	18:12	20:42
237	07:11	09:46	12:46	15:46	18:16	20:46
238	07:12	09:47	12:47	15:47	18:17	20:47
239	07:14	09:49	12:49	15:49	18:19	20:49
240	07:15	09:50	12:50	15:50	18:20	20:50
241	07:16	09:51	12:51	15:51	18:21	20:51
242	07:20	09:55	12:55	15:55	18:25	20:55
243	07:22	09:57	12:57	15:57	18:27	20:57
244	07:23	09:58	12:58	15:58	18:28	20:58
142	07:24	09:59	12:59	15:59	18:29	20:59
245	07:26	10:01	13:01	16:01	18:31	21:01
246	07:27	10:02	13:02	16:02	18:32	21:02
208	07:30	10:05	13:05	16:05	18:35	21:05
144	07:32	10:07	13:07	16:07	18:37	21:07
