shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon,shape_dist_traveled
mcrf,0,52.236963,21.041113,0
mcrf,1,52.237013,21.039010,143.3032252694696
mcrf,2,52.235643,21.038298,303.09863780647584
u767,0,52.254184,21.013858,0
u767,1,52.253764,21.018868,344.23931159071026
lpbw,0,52.253764,21.018868,0
lpbw,1,52.254184,21.013858,344.23931159071026
q129,0,52.229937,21.043464,0
q129,1,52.228011,21.049265,449.3842836927089
uxhd,0,52.228011,21.049265,0
uxhd,1,52.229937,21.043464,449.384283692709
87dk,0,52.235643,21.038298,0
87dk,1,52.236999,21.039017,158.4362837059828
87dk,2,52.236963,21.041113,301.1997373744214
