trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
W11-19,0,W1L,16:50:00,16:50:00,,,,,,0,0
W11-19,1,W1R,16:55:00,16:55:00,,,,,,449.3842836927089,0
W11-21,0,W1L,17:30:00,17:30:00,,,,,,0,0
W11-21,1,W1R,17:35:00,17:35:00,,,,,,449.3842836927089,0
W11-20,0,W1L,17:10:00,17:10:00,,,,,,0,0
W11-20,1,W1R,17:15:00,17:15:00,,,,,,449.3842836927089,0
W11-22,0,W1L,17:50:00,17:50:00,,,,,,0,0
W11-22,1,W1R,17:55:00,17:55:00,,,,,,449.3842836927089,0
W11-23,0,W1L,18:10:00,18:10:00,,,,,,0,0
W11-23,1,W1R,18:15:00,18:15:00,,,,,,449.3842836927089,0
W11-24,0,W1L,18:30:00,18:30:00,,,,,,0,0
W11-24,1,W1R,18:35:00,18:35:00,,,,,,449.3842836927089,0
W11-25,0,W1L,18:50:00,18:50:00,,,,,,0,0
W11-25,1,W1R,18:55:00,18:55:00,,,,,,449.3842836927089,0
W11-26,0,W1L,19:10:00,19:10:00,,,,,,0,0
W11-26,1,W1R,19:15:00,19:15:00,,,,,,449.3842836927089,0
W11-28,0,W1L,19:50:00,19:50:00,,,,,,0,0
W11-28,1,W1R,19:55:00,19:55:00,,,,,,449.3842836927089,0
W11-27,0,W1L,19:30:00,19:30:00,,,,,,0,0
W11-27,1,W1R,19:35:00,19:35:00,,,,,,449.3842836927089,0
W11-1,0,W1L,10:10:00,10:10:00,,,,,,0,0
W11-1,1,W1R,10:15:00,10:15:00,,,,,,449.3842836927089,0
W11-2,0,W1L,10:30:00,10:30:00,,,,,,0,0
W11-2,1,W1R,10:35:00,10:35:00,,,,,,449.3842836927089,0
W11-4,0,W1L,11:10:00,11:10:00,,,,,,0,0
W11-4,1,W1R,11:15:00,11:15:00,,,,,,449.3842836927089,0
W11-3,0,W1L,10:50:00,10:50:00,,,,,,0,0
W11-3,1,W1R,10:55:00,10:55:00,,,,,,449.3842836927089,0
W11-5,0,W1L,11:30:00,11:30:00,,,,,,0,0
W11-5,1,W1R,11:35:00,11:35:00,,,,,,449.3842836927089,0
W11-6,0,W1L,11:50:00,11:50:00,,,,,,0,0
W11-6,1,W1R,11:55:00,11:55:00,,,,,,449.3842836927089,0
W11-7,0,W1L,12:10:00,12:10:00,,,,,,0,0
W11-7,1,W1R,12:15:00,12:15:00,,,,,,449.3842836927089,0
W11-8,0,W1L,12:30:00,12:30:00,,,,,,0,0
W11-8,1,W1R,12:35:00,12:35:00,,,,,,449.3842836927089,0
W11-9,0,W1L,12:50:00,12:50:00,,,,,,0,0
W11-9,1,W1R,12:55:00,12:55:00,,,,,,449.3842836927089,0
W11-18,0,W1L,16:00:00,16:00:00,,,,,,0,0
W11-18,1,W1R,16:05:00,16:05:00,,,,,,449.3842836927089,0
W11-0,0,W1L,09:30:00,09:30:00,,,,,,0,0
W11-0,1,W1R,09:35:00,09:35:00,,,,,,449.3842836927089,0
W11-16,0,W1L,15:20:00,15:20:00,,,,,,0,0
W11-16,1,W1R,15:25:00,15:25:00,,,,,,449.3842836927089,0
W11-17,0,W1L,15:40:00,15:40:00,,,,,,0,0
W11-17,1,W1R,15:45:00,15:45:00,,,,,,449.3842836927089,0
W11-15,0,W1L,15:00:00,15:00:00,,,,,,0,0
W11-15,1,W1R,15:05:00,15:05:00,,,,,,449.3842836927089,0
W11-14,0,W1L,14:40:00,14:40:00,,,,,,0,0
W11-14,1,W1R,14:45:00,14:45:00,,,,,,449.3842836927089,0
W11-12,0,W1L,14:00:00,14:00:00,,,,,,0,0
W11-12,1,W1R,14:05:00,14:05:00,,,,,,449.3842836927089,0
W12r-0,0,W1R,12:45:00,12:45:00,,1,,,,0,0
W12r-0,1,W1L,12:50:00,12:50:00,,1,,,,449.3842836927089,0
W12r-2,0,W1R,13:45:00,13:45:00,,1,,,,0,0
W12r-2,1,W1L,13:50:00,13:50:00,,1,,,,449.3842836927089,0
W11-13,0,W1L,14:20:00,14:20:00,,,,,,0,0
W11-13,1,W1R,14:25:00,14:25:00,,,,,,449.3842836927089,0
W12r-1,0,W1R,13:15:00,13:15:00,,1,,,,0,0
W12r-1,1,W1L,13:20:00,13:20:00,,1,,,,449.3842836927089,0
W12r-3,0,W1R,14:15:00,14:15:00,,1,,,,0,0
W12r-3,1,W1L,14:20:00,14:20:00,,1,,,,449.3842836927089,0
W12r-4,0,W1R,14:45:00,14:45:00,,1,,,,0,0
W12r-4,1,W1L,14:50:00,14:50:00,,1,,,,449.3842836927089,0
W12r-5,0,W1R,15:15:00,15:15:00,,1,,,,0,0
W12r-5,1,W1L,15:20:00,15:20:00,,1,,,,449.3842836927089,0
W12r-6,0,W1R,15:45:00,15:45:00,,1,,,,0,0
W12r-6,1,W1L,15:50:00,15:50:00,,1,,,,449.3842836927089,0
W12r-10,0,W1R,18:00:00,18:00:00,,1,,,,0,0
W12r-10,1,W1L,18:05:00,18:05:00,,1,,,,449.3842836927089,0
W12r-9,0,W1R,17:30:00,17:30:00,,1,,,,0,0
W12r-9,1,W1L,17:35:00,17:35:00,,1,,,,449.3842836927089,0
W11-11,0,W1L,13:40:00,13:40:00,,,,,,0,0
W11-11,1,W1R,13:45:00,13:45:00,,,,,,449.3842836927089,0
W12r-8,0,W1R,17:00:00,17:00:00,,1,,,,0,0
W12r-8,1,W1L,17:05:00,17:05:00,,1,,,,449.3842836927089,0
W11-10,0,W1L,13:20:00,13:20:00,,,,,,0,0
W11-10,1,W1R,13:25:00,13:25:00,,,,,,449.3842836927089,0
W12r-7,0,W1R,16:30:00,16:30:00,,1,,,,0,0
W12r-7,1,W1L,16:35:00,16:35:00,,1,,,,449.3842836927089,0
W12r-11,0,W1R,18:30:00,18:30:00,,1,,,,0,0
W12r-11,1,W1L,18:35:00,18:35:00,,1,,,,449.3842836927089,0
W12r-12,0,W1R,19:00:00,19:00:00,,1,,,,0,0
W12r-12,1,W1L,19:05:00,19:05:00,,1,,,,449.3842836927089,0
W12r-13,0,W1R,19:30:00,19:30:00,,1,,,,0,0
W12r-13,1,W1L,19:35:00,19:35:00,,1,,,,449.3842836927089,0
W11r-1,0,W1L,13:00:00,13:00:00,,,,,,0,0
W11r-1,1,W1R,13:05:00,13:05:00,,,,,,449.3842836927089,0
W11r-0,0,W1L,12:30:00,12:30:00,,,,,,0,0
W11r-0,1,W1R,12:35:00,12:35:00,,,,,,449.3842836927089,0
W11r-3,0,W1L,14:00:00,14:00:00,,,,,,0,0
W11r-3,1,W1R,14:05:00,14:05:00,,,,,,449.3842836927089,0
W11r-2,0,W1L,13:30:00,13:30:00,,,,,,0,0
W11r-2,1,W1R,13:35:00,13:35:00,,,,,,449.3842836927089,0
W11r-4,0,W1L,14:30:00,14:30:00,,,,,,0,0
W11r-4,1,W1R,14:35:00,14:35:00,,,,,,449.3842836927089,0
W11r-5,0,W1L,15:00:00,15:00:00,,,,,,0,0
W11r-5,1,W1R,15:05:00,15:05:00,,,,,,449.3842836927089,0
W11r-6,0,W1L,15:30:00,15:30:00,,,,,,0,0
W11r-6,1,W1R,15:35:00,15:35:00,,,,,,449.3842836927089,0
W11r-9,0,W1L,17:15:00,17:15:00,,,,,,0,0
W11r-9,1,W1R,17:20:00,17:20:00,,,,,,449.3842836927089,0
W11r-10,0,W1L,17:45:00,17:45:00,,,,,,0,0
W11r-10,1,W1R,17:50:00,17:50:00,,,,,,449.3842836927089,0
W11r-8,0,W1L,16:45:00,16:45:00,,,,,,0,0
W11r-8,1,W1R,16:50:00,16:50:00,,,,,,449.3842836927089,0
W11r-7,0,W1L,16:15:00,16:15:00,,,,,,0,0
W11r-7,1,W1R,16:20:00,16:20:00,,,,,,449.3842836927089,0
W11r-11,0,W1L,18:15:00,18:15:00,,,,,,0,0
W11r-11,1,W1R,18:20:00,18:20:00,,,,,,449.3842836927089,0
W11r-13,0,W1L,19:15:00,19:15:00,,,,,,0,0
W11r-13,1,W1R,19:20:00,19:20:00,,,,,,449.3842836927089,0
W11r-12,0,W1L,18:45:00,18:45:00,,,,,,0,0
W11r-12,1,W1R,18:50:00,18:50:00,,,,,,449.3842836927089,0
W11-05,0,W1L,09:50:00,09:50:00,,,,,,0,0
W11-05,1,W1R,09:55:00,09:55:00,,,,,,449.3842836927089,0
W12-0,0,W1R,09:40:00,09:40:00,,1,,,,0,0
W12-0,1,W1L,09:45:00,09:45:00,,1,,,,449.3842836927089,0
W12-1,0,W1R,10:00:00,10:00:00,,1,,,,0,0
W12-1,1,W1L,10:05:00,10:05:00,,1,,,,449.3842836927089,0
W12-2,0,W1R,10:20:00,10:20:00,,1,,,,0,0
W12-2,1,W1L,10:25:00,10:25:00,,1,,,,449.3842836927089,0
W12-3,0,W1R,10:40:00,10:40:00,,1,,,,0,0
W12-3,1,W1L,10:45:00,10:45:00,,1,,,,449.3842836927089,0
W12-4,0,W1R,11:00:00,11:00:00,,1,,,,0,0
