block	21	22	21	23	22	21	23	22	23	21	22	23	21	22	23	21
701	04:47	05:34	06:00	06:30	06:56	07:26	07:44	08:24	15:32	15:55	16:28	17:06	17:35	18:07	18:38	18:55
732	04:49	05:36	06:02	06:32	06:58	07:30	07:48	08:28	15:34	15:59	16:32	17:10	17:39	18:09	18:40	18:57
713	04:53	05:40	06:06	06:36	07:02	07:35	07:53	08:33	15:38	16:04	16:37	17:15	17:44	18:13	18:42	19:01
722	04:55	05:42	06:09	06:39	07:05	07:38	07:56	08:36	15:41	16:08	16:41	17:19	17:48	18:15	18:44	19:03
402	04:57	05:44	06:12	06:42	07:08	07:41	07:59	08:39	15:45	16:12	16:45	17:23	17:52	18:18	18:47	19:05
341	04:58	05:45	06:13	06:43	07:09	07:42	08:00	08:40	15:46	16:13	16:46	17:24	17:53	18:19	18:48	19:06
331	04:59	05:46	06:14	06:44	07:10	07:43	08:01	08:41	15:47	16:14	16:47	17:25	17:54	18:20	18:49	19:07
324	05:01	05:48	06:16	06:46	07:12	07:45	08:03	08:43	15:49	16:16	16:49	17:27	17:56	18:22	18:51	19:09
312	05:02	05:49	06:17	06:47	07:13	07:47	08:05	08:45	15:51	16:18	16:50	17:29	17:57	18:23	18:52	19:10
302	05:05	05:52	06:20	06:50	07:16	07:50	08:08	08:48	15:54	16:21	16:53	17:32	18:00	18:26	18:55	19:13
462	05:06	05:53	06:22	06:52	07:18	07:52	08:10	08:50	15:56	16:23	16:55	17:34	18:02	18:28	18:56	19:14
462	05:06	05:53	06:22	06:52	07:18	07:52	08:10	08:50	16:11	16:38	17:10	17:44	18:02	18:43	19:11	19:29
652	05:09	05:56	06:25	06:55	07:21	07:56	08:14	08:53	16:14	16:41	17:13	17:47	18:05	18:46	19:14	19:32
471	05:10	05:57	06:26	06:56	07:22	07:57	08:15	08:54	16:15	16:42	17:14	17:48	18:06	18:47	19:15	19:33
481	05:11	05:58	06:27	06:57	07:23	07:58	08:16	08:55	16:16	16:43	17:15	17:49	18:07	18:48	19:16	19:34
825	05:12	05:59	06:28	06:58	07:24	07:59	08:17	08:56	16:17	16:44	17:16	17:50	18:08	18:49	19:17	19:35
826	05:13	06:00	06:29	06:59	07:25	08:00	08:18	08:57	16:18	16:45	17:17	17:51	18:09	18:50	19:18	19:36
512	05:14	06:01	06:30	07:00	07:26	08:01	08:19	08:58	16:19	16:46	17:18	17:52	18:10	18:51	19:19	19:37
501	05:16	06:03	06:32	07:02	07:28	08:03	08:21	09:00	16:22	16:49	17:21	17:55	18:13	18:53	19:21	19:39
511	05:17	06:04	06:33	07:03	07:29	08:04	08:22	09:01	16:23	16:50	17:22	17:56	18:14	18:54	19:22	19:40
521	05:18	06:05	06:35	07:05	07:31	08:06	08:24	09:03	16:25	16:52	17:24	17:58	18:16	18:56	19:23	19:41
661	05:24	06:11	06:42	07:12	07:38	08:13	08:31	09:10	16:36	17:05	17:37	18:09	18:27	19:03	19:29	19:47
662	05:31	06:27	06:55	~	07:52	~	~	~	~	~	~	~	~	~	~	~
461	05:33	06:29	06:57	07:13	07:54	08:14	08:32	09:11	16:37	17:06	17:38	18:10	18:28	19:04	19:30	19:48
301	05:35	06:31	06:59	07:15	07:56	08:16	08:34	09:13	16:39	17:08	17:40	18:12	18:30	19:06	19:32	19:50
311	05:36	06:32	07:00	07:16	07:57	08:17	08:35	09:14	16:40	17:09	17:41	18:13	18:31	19:07	19:33	19:51
323	05:38	06:34	07:02	07:18	07:59	08:19	08:37	09:16	16:42	17:11	17:43	18:15	18:33	19:09	19:35	19:53
332	05:40	06:36	07:04	07:20	08:01	08:21	08:39	09:18	16:44	17:13	17:45	18:17	18:35	19:11	19:37	19:55
342	05:41	06:37	07:05	07:22	08:02	08:23	08:40	09:19	16:45	17:14	17:46	18:18	18:36	19:12	19:38	19:56
401	05:43	06:39	07:07	07:24	08:04	08:25	08:42	09:21	16:47	17:16	17:48	18:20	18:38	19:14	19:40	19:58
721	05:45	06:41	07:09	07:26	08:06	08:27	08:44	09:23	16:49	17:18	17:50	18:22	18:40	19:16	19:42	20:00
711	05:48	06:44	07:13	07:30	08:10	08:31	08:48	09:27	16:52	17:21	17:54	18:26	18:43	19:20	19:45	20:03
702	05:52	06:48	07:17	07:35	08:15	08:36	08:52	09:31	16:57	17:26	17:59	18:30	18:47	19:24	19:49	20:07
