block	31	32	31	32	31	32	31	32	31	32	31	31	31	31	31	32	31	32	31	32	31	31	31	31	31
102	04:20	05:05	05:35	06:05	06:35	07:05	07:52	08:27	08:55	09:40	10:17	11:32	12:45	13:57	15:08	16:10	16:35	17:15	17:50	18:30	19:05	20:12	21:10	22:10	23:07
113	04:22	05:07	05:37	06:07	06:37	07:07	07:54	08:29	08:57	09:42	10:19	11:34	12:47	13:59	15:10	16:13	16:38	17:18	17:53	18:33	19:07	20:14	21:12	22:12	23:09
121	04:24	05:09	05:39	06:09	06:40	07:09	07:56	08:31	09:00	09:45	10:22	11:37	12:50	14:02	15:13	16:16	16:41	17:21	17:56	18:36	19:10	20:16	21:14	22:14	23:11
131	04:25	05:10	05:40	06:10	06:41	07:10	07:57	08:32	09:01	09:46	10:23	11:38	12:51	14:03	15:14	16:17	16:42	17:22	17:57	18:37	19:11	20:17	21:15	22:15	23:12
681	~	~	~	~	~	~	~	~	~	09:49	10:26	11:41	12:54	14:06	~	~	~	~	~	~	~	~	~	~	~
152	04:27	05:12	05:42	06:12	06:43	07:12	07:59	08:34	09:03	09:53	10:30	11:45	12:58	14:10	15:16	16:19	16:44	17:24	17:59	18:39	19:13	20:19	21:17	22:17	23:14
291	04:28	05:13	05:43	06:13	06:45	07:14	08:01	08:36	09:05	09:55	10:32	11:47	13:00	14:12	15:18	16:21	16:46	17:26	18:01	18:41	19:15	20:20	21:18	22:18	23:15
261	04:29	05:14	05:44	06:14	06:46	07:15	08:02	08:37	09:06	09:56	10:33	11:48	13:01	14:13	15:19	16:22	16:47	17:27	18:02	18:42	19:16	20:21	21:19	22:19	23:16
161	04:30	05:15	05:45	06:15	06:47	07:16	08:03	08:38	09:07	09:57	10:34	11:49	13:02	14:14	15:20	16:23	16:48	17:28	18:03	18:43	19:17	20:22	21:20	22:20	23:17
172	04:31	05:16	05:46	06:16	06:48	07:17	08:04	08:39	09:08	09:58	10:35	11:50	13:03	14:15	15:21	16:24	16:49	17:29	18:04	18:44	19:18	20:23	21:21	22:21	23:18
182	04:32	05:17	05:47	06:17	06:50	07:19	08:06	08:41	09:10	10:00	10:37	11:52	13:05	14:17	15:23	16:26	16:51	17:31	18:06	18:46	19:20	20:24	21:22	22:22	23:19
183	04:35	05:20	05:50	06:20	06:54	07:22	08:09	08:45	09:14	10:04	10:41	11:56	13:09	14:21	15:27	16:31	16:56	17:36	18:10	18:50	19:24	20:27	21:25	22:25	23:22
412	04:36	05:21	05:51	06:21	06:55	07:23	08:10	08:46	09:15	10:05	10:42	11:57	13:10	14:22	15:28	16:33	16:58	17:38	18:11	18:51	19:25	20:28	21:26	22:26	23:23
582	04:37	05:22	05:52	06:22	06:57	07:25	08:12	08:48	09:17	10:07	10:44	11:59	13:12	14:24	15:30	16:35	17:00	17:40	18:13	18:53	19:27	20:29	21:27	22:27	23:24
