block	41	41	42	41	42	41	42	41	42	41	42	41	42	41	42	41	42	41	42	41	42	41	42	42
701	05:42	06:52	07:32	08:01	08:52	09:22	10:07	10:37	11:22	12:00	12:45	13:13	13:58	14:31	15:16	15:44	16:29	17:07	17:52	18:22	19:07	19:37	20:22	21:32
732	05:44	06:54	07:34	08:03	08:54	09:24	10:09	10:39	11:24	12:02	12:47	13:15	14:00	14:33	15:18	15:46	16:31	17:09	17:54	18:24	19:09	19:39	20:24	21:34
714	05:48	06:58	07:38	08:07	08:58	09:28	10:13	10:43	11:28	12:06	12:51	13:19	14:04	14:37	15:22	15:50	16:35	17:13	17:58	18:28	19:13	19:43	20:28	21:38
282	05:51	07:01	07:41	08:10	09:01	09:31	10:16	10:46	11:31	12:09	12:54	13:22	14:07	14:40	15:25	15:53	16:38	17:16	18:01	18:31	19:16	19:46	20:31	21:41
931	05:52	07:02	07:42	08:11	09:02	09:32	10:17	10:47	11:32	12:10	12:55	13:23	14:08	14:41	15:26	15:54	16:39	17:17	18:02	18:32	19:17	19:47	20:32	21:42
261	05:53	07:03	07:43	08:12	09:03	09:33	10:18	10:48	11:33	12:11	12:56	13:24	14:09	14:42	15:27	15:55	16:40	17:18	18:03	18:33	19:18	19:48	20:33	21:43
241	05:54	07:04	07:44	08:13	09:04	09:34	10:19	10:49	11:34	12:12	12:57	13:25	14:10	14:43	15:28	15:56	16:41	17:19	18:04	18:34	19:19	19:49	20:34	21:44
221	05:56	07:06	07:46	08:15	09:06	09:36	10:21	10:51	11:36	12:14	12:59	13:27	14:12	14:45	15:30	15:58	16:43	17:21	18:06	18:36	19:21	19:51	20:36	21:46
202	05:57	07:07	07:47	08:16	09:07	09:37	10:22	10:52	11:37	12:15	13:00	13:28	14:13	14:46	15:31	15:59	16:44	17:22	18:07	18:37	19:22	19:52	20:37	21:47
183	05:59	07:09	07:49	08:19	09:10	09:40	10:25	10:55	11:40	12:18	13:03	13:31	14:16	14:49	15:34	16:02	16:47	17:25	18:10	18:40	19:25	19:55	20:39	21:49
