block	41	41	41	41	41	41	41	41	41	41	41	41
701	05:52	07:02	08:12	09:32	10:47	12:07	13:22	14:37	16:00	17:15	18:36	19:51
732	05:54	07:04	08:14	09:34	10:49	12:09	13:24	14:39	16:02	17:17	18:38	19:53
714	05:58	07:08	08:18	09:38	10:53	12:13	13:28	14:43	16:06	17:21	18:42	19:57
282	06:01	07:11	08:21	09:41	10:56	12:16	13:31	14:46	16:09	17:24	18:45	20:00
931	06:02	07:12	08:22	09:42	10:57	12:17	13:32	14:47	16:10	17:25	18:46	20:01
261	06:03	07:13	08:23	09:43	10:58	12:18	13:33	14:48	16:11	17:26	18:47	20:02
241	06:04	07:14	08:24	09:44	10:59	12:19	13:34	14:49	16:12	17:27	18:48	20:03
221	06:06	07:16	08:26	09:46	11:01	12:21	13:36	14:51	16:14	17:29	18:50	20:05
202	06:07	07:17	08:27	09:47	11:02	12:22	13:37	14:52	16:15	17:30	18:51	20:06
183	06:09	07:19	08:29	09:50	11:05	12:25	13:40	14:55	16:18	17:33	18:53	20:08
621	06:10	07:20	08:30	09:51	11:06	12:26	13:41	14:56	16:19	17:34	18:54	20:09
341	06:12	07:22	08:32	09:53	11:08	12:28	13:43	14:58	16:21	17:36	18:56	20:11
331	06:13	07:23	08:33	09:54	11:09	12:29	13:44	14:59	16:22	17:37	18:57	20:12
324	06:15	07:25	08:35	09:56	11:11	12:31	13:46	15:01	16:24	17:39	18:59	20:14
312	06:16	07:26	08:36	09:57	11:12	12:32	13:47	15:02	16:25	17:40	19:00	20:15
302	06:19	07:29	08:39	10:00	11:15	12:35	13:50	15:05	16:28	17:43	19:03	20:18
462	06:20	07:30	08:40	10:02	11:17	12:37	13:52	15:07	16:30	17:45	19:04	20:19
662	06:21	07:31	08:41	10:03	11:18	12:38	13:53	15:08	16:31	17:46	19:05	20:20
662	06:28	07:38	08:57	10:11	11:31	12:46	14:01	15:24	16:39	18:02	19:17	20:36
461	06:30	07:40	08:59	10:13	11:33	12:48	14:03	15:26	16:41	18:04	19:19	20:38
301	06:31	07:41	09:00	10:14	11:34	12:49	14:04	15:27	16:42	18:05	19:20	20:39
311	06:33	07:43	09:02	10:16	11:36	12:51	14:06	15:29	16:44	18:07	19:22	20:41
323	06:35	07:45	09:04	10:18	11:38	12:53	14:08	15:31	16:46	18:09	19:24	20:43
332	06:36	07:46	09:05	10:19	11:39	12:54	14:09	15:32	16:47	18:10	19:25	20:44
342	06:38	07:48	09:08	10:22	11:42	12:57	14:12	15:35	16:50	18:12	19:27	20:46
611	06:41	07:51	09:11	10:25	11:45	13:00	14:15	15:38	16:53	18:15	19:30	20:49
201	06:42	07:52	09:13	10:27	11:47	13:02	14:17	15:40	16:55	18:16	19:31	20:50
211	06:42	07:52	09:13	10:27	11:47	13:02	14:17	15:40	16:55	18:16	19:31	20:50
231	06:43	07:53	09:14	10:28	11:48	13:03	14:18	15:41	16:56	18:17	19:32	20:51
163	06:44	07:54	09:15	10:29	11:49	13:04	14:19	15:42	16:57	18:18	19:33	20:52
251	06:45	07:55	09:16	10:30	11:50	13:05	14:20	15:43	16:58	18:19	19:34	20:53
271	06:46	07:56	09:17	10:31	11:51	13:06	14:21	15:44	16:59	18:20	19:35	20:54
281	06:50	08:00	09:21	10:35	11:55	13:10	14:25	15:48	17:03	18:24	19:39	20:58
711	06:54	08:04	09:25	10:39	11:59	13:14	14:29	15:52	17:07	18:28	19:43	21:02
702	06:55	08:05	09:26	10:40	12:00	13:15	14:30	15:53	17:08	18:29	19:44	21:03
