block	41	42	41	43	42	41	43	42	41	43	42	41	43	42	41	43	42	41	43	42	41	43	42	41	43	42	41	43	42	41
701	04:22	05:11	05:37	06:02	06:27	06:58	07:24	07:50	08:21	08:54	09:23	10:00	10:37	11:05	11:22	11:59	12:37	12:56	13:21	13:59	14:18	14:43	15:36	15:57	16:22	17:12	17:25	17:57	18:38	18:48
732	04:24	05:13	05:39	06:04	06:29	07:00	07:27	07:53	08:23	08:56	09:25	10:02	10:39	11:07	11:24	12:01	12:39	12:58	13:23	14:01	14:20	14:45	15:38	15:59	16:25	17:15	17:28	17:59	18:40	18:50
714	04:28	05:17	05:43	06:08	06:33	07:04	07:31	07:57	08:27	09:00	09:29	10:06	10:43	11:11	11:28	12:05	12:43	13:02	13:27	14:05	14:24	14:49	15:42	16:03	16:29	17:19	17:32	18:03	18:44	18:54
282	04:31	05:20	05:46	06:11	06:36	07:07	07:34	08:00	08:30	09:03	09:32	10:09	10:46	11:14	11:31	12:08	12:46	13:05	13:30	14:08	14:27	14:52	15:45	16:06	16:32	17:22	17:35	18:06	18:47	18:57
931	04:32	05:21	05:47	06:12	06:37	07:08	07:35	08:01	08:31	09:04	09:33	10:10	10:47	11:15	11:32	12:09	12:47	13:06	13:31	14:09	14:28	14:53	15:46	16:07	16:33	17:23	17:36	18:07	18:48	18:58
261	04:33	05:22	05:48	06:13	06:38	07:09	07:36	08:02	08:32	09:05	09:34	10:11	10:48	11:16	11:33	12:10	12:48	13:07	13:32	14:10	14:29	14:54	15:47	16:08	16:34	17:24	17:37	18:08	18:49	18:59
241	04:34	05:23	05:49	06:14	06:39	07:10	07:37	08:03	08:33	09:06	09:35	10:12	10:49	11:17	11:34	12:11	12:49	13:08	13:33	14:11	14:30	14:55	15:48	16:09	16:35	17:25	17:38	18:09	18:50	19:00
221	04:36	05:25	05:51	06:16	06:41	07:12	07:39	08:05	08:35	09:08	09:37	10:14	10:51	11:19	11:36	12:13	12:51	13:10	13:35	14:13	14:32	14:57	15:50	16:11	16:37	17:27	17:40	18:11	18:52	19:02
202	04:37	05:26	05:52	06:17	06:42	07:13	07:40	08:09	08:36	09:09	09:38	10:15	10:52	11:20	11:37	12:14	12:52	13:11	13:36	14:14	14:33	14:58	15:51	16:13	16:39	17:28	17:41	18:12	18:53	19:03
183	04:39	05:28	05:54	06:20	06:45	07:16	07:43	08:13	08:39	09:12	09:41	10:18	10:55	11:23	11:40	12:17	12:55	13:14	13:39	14:17	14:36	15:01	15:54	16:16	16:42	17:31	17:44	18:15	18:56	19:05
621	04:40	05:29	05:55	06:21	06:46	07:17	07:44	08:14	08:40	09:13	09:42	10:19	10:56	11:24	11:41	12:18	12:56	13:15	13:40	14:18	14:37	15:02	15:55	16:17	16:43	17:32	17:45	18:16	18:57	19:06
341	04:42	05:31	05:57	06:23	06:48	07:19	07:46	08:16	08:42	09:15	09:44	10:21	10:58	11:26	11:43	12:20	12:58	13:17	13:42	14:20	14:39	15:04	15:57	16:19	16:45	17:34	17:47	18:18	18:59	19:08
331	04:43	05:32	05:58	06:24	06:49	07:20	07:47	08:17	08:43	09:16	09:45	10:22	10:59	11:27	11:44	12:21	12:59	13:18	13:43	14:21	14:40	15:05	15:58	16:20	16:46	17:35	17:48	18:19	19:00	19:09
324	04:45	05:34	06:00	06:26	06:51	07:22	07:49	08:19	08:45	09:18	09:47	10:24	11:01	11:29	11:46	12:23	13:01	13:20	13:45	14:23	14:42	15:07	16:00	16:22	16:48	17:37	17:50	18:21	19:02	19:11
312	04:46	05:35	06:01	06:27	06:52	07:23	07:50	08:20	08:46	09:19	09:48	10:25	11:02	11:30	11:47	12:24	13:02	13:21	13:46	14:24	14:43	15:08	16:01	16:23	16:49	17:38	17:51	18:22	19:03	19:12
302	04:48	05:37	06:03	06:29	06:54	07:25	07:52	08:22	08:48	09:21	09:50	10:27	11:04	11:32	11:49	12:26	13:04	13:23	13:48	14:26	14:45	15:10	16:03	16:25	16:51	17:40	17:53	18:24	19:05	19:14
462	04:49	05:38	06:05	06:31	06:56	07:27	07:54	08:24	08:50	09:23	09:52	10:29	11:06	11:34	11:51	12:28	13:06	13:25	13:50	14:28	14:47	15:12	16:05	16:27	16:53	17:42	17:55	18:26	19:07	19:15
462	04:49	05:38	06:05	06:31	06:56	07:27	07:54	08:24	08:50	09:23	09:52	10:29	11:06	11:34	11:51	12:28	13:06	13:25	13:50	14:43	15:05	15:27	16:13	16:27	17:01	17:42	17:55	18:26	19:07	19:20
652	04:52	05:41	06:08	06:34	06:59	07:30	07:57	08:27	08:53	09:26	09:55	10:32	11:09	11:37	11:54	12:31	13:09	13:28	13:53	14:46	15:08	15:30	16:16	16:30	17:04	17:45	17:58	18:29	19:10	19:23
471	04:53	05:42	06:09	06:35	07:00	07:31	07:58	08:28	08:54	09:27	09:56	10:33	11:10	11:38	11:55	12:32	13:10	13:29	13:54	14:47	15:09	15:31	16:17	16:31	17:05	17:46	17:59	18:30	19:11	19:24
481	04:53	05:42	06:09	06:35	07:00	07:31	07:58	08:28	08:54	09:27	09:56	10:33	11:10	11:38	11:55	12:32	13:10	13:29	13:54	14:47	15:09	15:31	16:17	16:31	17:05	17:46	17:59	18:30	19:11	19:24
491	04:54	05:43	06:10	06:36	07:01	07:32	07:59	08:29	08:55	09:28	09:57	10:34	11:11	11:39	11:56	12:33	13:11	13:30	13:55	14:48	15:10	15:32	16:18	16:32	17:06	17:47	18:00	18:31	19:12	19:25
501	04:56	05:45	06:12	06:38	07:03	07:34	08:01	08:31	08:57	09:30	09:59	10:36	11:13	11:41	11:58	12:35	13:13	13:32	13:57	14:50	15:12	15:34	16:20	16:34	17:08	17:49	18:02	18:33	19:14	19:27
511	04:57	05:46	06:13	06:39	07:04	07:35	08:02	08:32	08:58	09:31	10:00	10:37	11:14	11:42	11:59	12:36	13:14	13:33	13:58	14:51	15:13	15:35	16:21	16:35	17:09	17:50	18:03	18:34	19:15	19:28
521	04:58	05:47	06:15	06:41	07:06	07:37	08:04	08:34	09:00	09:33	10:02	10:39	11:16	11:44	12:01	12:38	13:16	13:35	14:00	14:53	15:15	15:37	16:23	16:37	17:11	17:52	18:05	18:36	19:17	19:29
661	05:03	05:52	06:21	06:47	07:12	07:42	08:09	08:40	09:06	09:39	10:08	10:45	11:22	11:50	12:07	12:44	13:22	13:41	14:06	14:59	15:21	15:43	16:33	16:47	17:21	18:02	18:14	18:45	19:23	19:34
662	~	~	~	~	~	~	08:10	08:41	09:07	09:40	10:09	10:45	~	11:51	12:08	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
662	~	~	~	~	~	~	08:15	08:45	09:22	09:59	10:27	10:45	~	11:59	12:18	~	~	~	~	~	~	~	~	~	~	~	~	~	~	~
461	05:04	05:53	06:22	06:48	07:13	07:43	08:17	08:47	09:24	10:01	10:29	10:46	11:23	12:01	12:20	12:45	13:23	13:42	14:07	15:00	15:22	15:44	16:34	16:48	17:22	18:03	18:15	18:46	19:24	19:35
301	05:06	05:55	06:24	06:50	07:15	07:45	08:19	08:49	09:26	10:03	10:31	10:48	11:25	12:03	12:22	12:47	13:25	13:44	14:09	15:02	15:24	15:46	16:36	16:50	17:24	18:05	18:17	18:48	19:26	19:37
311	05:07	05:56	06:25	06:51	07:16	07:46	08:20	08:50	09:27	10:04	10:32	10:49	11:26	12:04	12:23	12:48	13:26	13:45	14:10	15:03	15:25	15:47	16:37	16:51	17:25	18:06	18:18	18:49	19:27	19:38
323	05:09	05:58	06:27	06:53	07:18	07:48	08:22	08:52	09:29	10:06	10:34	10:51	11:28	12:06	12:25	12:50	13:28	13:47	14:12	15:05	15:27	15:49	16:39	16:53	17:27	18:08	18:20	18:51	19:29	19:40
332	05:11	06:00	06:29	06:55	07:20	07:50	08:24	08:54	09:31	10:08	10:36	10:53	11:30	12:08	12:27	12:52	13:30	13:49	14:14	15:07	15:29	15:51	16:41	16:55	17:29	18:10	18:22	18:53	19:31	19:42
342	05:12	06:01	06:30	06:56	07:21	07:51	08:25	08:55	09:32	10:09	10:37	10:54	11:31	12:09	12:28	12:53	13:31	13:50	14:15	15:08	15:30	15:52	16:42	16:56	17:30	18:11	18:23	18:54	19:32	19:43
611	05:14	06:03	06:33	06:59	07:24	07:54	08:28	08:58	09:35	10:12	10:40	10:57	11:34	12:12	12:31	12:56	13:34	13:53	14:18	15:11	15:33	15:55	16:45	16:59	17:33	18:14	18:26	18:57	19:35	19:45
201	05:17	06:06	06:36	07:02	07:27	07:57	08:31	09:01	09:38	10:15	10:43	11:00	11:37	12:15	12:34	12:59	13:37	13:56	14:21	15:14	15:36	15:58	16:48	17:02	17:36	18:17	18:29	19:00	19:38	19:48
211	05:18	06:07	06:38	07:04	07:29	07:59	08:33	09:03	09:40	10:17	10:45	11:02	11:39	12:17	12:36	13:01	13:39	13:58	14:23	15:16	15:38	16:00	16:50	17:04	17:38	18:19	18:31	19:02	19:40	19:50
231	05:18	06:07	06:38	07:04	07:29	07:59	08:33	09:03	09:40	10:17	10:45	11:02	11:39	12:17	12:36	13:01	13:39	13:58	14:23	15:16	15:38	16:00	16:50	17:04	17:38	18:19	18:31	19:02	19:40	19:50
163	05:19	06:08	06:39	07:05	07:30	08:00	08:34	09:04	09:41	10:18	10:46	11:03	11:40	12:18	12:37	13:02	13:40	13:59	14:24	15:17	15:39	16:01	16:51	17:05	17:39	18:20	18:32	19:03	19:41	19:51
251	05:20	06:09	06:40	07:06	07:31	08:01	08:35	09:05	09:42	10:19	10:47	11:04	11:41	12:19	12:38	13:03	13:41	14:00	14:25	15:18	15:40	16:02	16:52	17:06	17:40	18:21	18:33	19:04	19:42	19:52
271	05:21	06:10	06:41	07:07	07:32	08:02	08:36	09:06	09:43	10:20	10:48	11:05	11:42	12:20	12:39	13:04	13:42	14:01	14:26	15:19	15:41	16:03	16:53	17:07	17:41	18:22	18:34	19:05	19:43	19:53
281	05:22	06:11	06:42	07:08	07:33	08:03	08:37	09:07	09:44	10:21	10:49	11:06	11:43	12:21	12:40	13:05	13:43	14:02	14:27	15:20	15:42	16:04	16:54	17:08	17:42	18:23	18:35	19:06	19:44	19:54
711	05:26	06:15	06:46	07:12	07:38	08:08	08:42	09:11	09:48	10:25	10:53	11:10	11:47	12:25	12:44	13:09	13:47	14:06	14:31	15:24	15:46	16:09	16:59	17:13	17:46	18:27	18:39	19:10	19:48	19:58
702	05:30	06:19	06:50	07:16	07:43	08:13	08:46	09:15	09:52	10:29	10:57	11:14	11:51	12:29	12:48	13:13	13:51	14:10	14:35	15:28	15:50	16:14	17:04	17:18	17:50	18:31	18:43	19:14	19:52	20:02
