stop_id,stop_code,stop_name,stop_lat,stop_lon
161,161,11 Listopada 01,52.297365,21.102115
162,162,11 Listopada 02,52.297930,21.101967
163,163,11 Listopada 03,52.297583,21.101147
822,822,3 Maja 02,52.295420,21.121913
661,661,Andersena 01,52.282931,21.139529
662,662,Andersena 02,52.283786,21.139618
391,391,Bema,52.290958,21.107737
732,732,Bieżuńska 02,52.273246,21.064365
632,632,Bystra 02,52.294570,21.081800
102,102,CH Marki,52.304965,21.085250
331,331,Cmentarz 01,52.281120,21.112225
332,332,Cmentarz 02,52.282240,21.111470
681,681,Cmentarz Północny,52.308959,21.114430
652,652,Czwartaków,52.269244,21.146505
121,121,Drewnicka 01,52.304268,21.099155
122,122,Drewnicka 02,52.304855,21.097733
311,311,Dzika 01,52.279162,21.124692
312,312,Dzika 02,52.279051,21.124146
441,441,Gajowa,52.287423,21.128894
271,271,Hallera 01,52.294590,21.095630
931,931,Hallera 03,52.295159,21.097322
371,371,Klamrowa,52.288503,21.096754
721,721,Klamrowa 01,52.286406,21.093383
722,722,Klamrowa 02,52.286100,21.095140
131,131,Kochanowskiego 01,52.304811,21.104411
132,132,Kochanowskiego 02,52.305006,21.104686
412,412,Kołłątaja,52.288936,21.114007
511,511,Kordiana 01,52.260060,21.154352
451,451,Kosynierów,52.286108,21.130374
454,454,Kosynierów 04,52.284943,21.131077
572,572,ks. Skorupki,52.288090,21.118180
231,231,Kuleszy 01,52.298191,21.105732
591,591,Langiewicza,52.293940,21.124940
601,601,Legionów,52.293312,21.116006
241,241,Lisa Kuli,52.297972,21.104127
301,301,Maczka 01,52.279805,21.130346
302,302,Maczka 02,52.279838,21.132209
303,303,Maczka 03,52.280670,21.131010
621,621,Matejki,52.289520,21.110479
421,421,MCS - Basen,52.290018,21.122306
701,701,Metro Trocka 01,52.274991,21.056304
702,702,Metro Trocka 02,52.275553,21.055113
704,704,Metro Trocka 04,52.275663,21.056349
711,711,Młodzieńcza 01,52.286444,21.074699
713,713,Młodzieńcza 03,52.286627,21.076570
714,714,Młodzieńcza 04,52.287629,21.076136
151,151,Narutowicza 01,52.302525,21.099909
152,152,Narutowicza 02,52.302731,21.099061
153,153,Narutowicza 03,52.302887,21.100245
381,381,Nowa,52.289269,21.100206
581,581,Orla,52.291290,21.116901
582,582,Orla,52.290680,21.117330
471,471,Paderewskiego 01,52.269822,21.150811
291,291,Piotra Skargi 01,52.298943,21.095437
292,292,Piotra Skargi 02,52.300210,21.095162
181,181,PKP Ząbki 01,52.292400,21.111580
182,182,PKP Ząbki 02,52.292890,21.111050
183,183,PKP Ząbki 03,52.291561,21.111997
323,323,Powstańców 03,52.278377,21.117352
324,324,Powstańców 04,52.278269,21.117754
461,461,Powstańców Park 01,52.280586,21.138858
462,462,Powstańców Park 02,52.280397,21.139040
532,532,Pułaskiego 02,52.285163,21.133634
642,642,Radzymińska 02,52.300830,21.086980
501,501,Rembertów Ratusz 01,52.258940,21.161052
671,671,Skowronka 01,52.281419,21.105193
351,351,Skrajna,52.278931,21.107737
691,691,Słoneczna,52.291235,21.127884
221,221,Sobieskiego,52.296610,21.110840
281,281,Sosnkowskiego 01,52.295130,21.091490
282,282,Sosnkowskiego 02,52.294820,21.093030
431,431,Sosnowa,52.289856,21.125562
481,481,Szafarzy 01,52.267878,21.153072
211,211,Szpital Drewnica,52.298110,21.108590
341,341,Szwoleżerów 01,52.284070,21.110060
342,342,Szwoleżerów 02,52.285030,21.109770
261,261,Tetmajera,52.297300,21.100263
201,201,Urząd Miasta 01,52.294010,21.113980
202,202,Urząd Miasta 02,52.293800,21.113860
401,401,Warszawska,52.286380,21.105750
402,402,Warszawska,52.286587,21.106881
251,251,Wilcza 01,52.297224,21.098871
111,111,Wolności 01,52.302680,21.088090
113,113,Wolności 03,52.302908,21.089749
171,171,Wyspiańskiego 01,52.294750,21.103980
172,172,Wyspiańskiego 02,52.294637,21.103540
670,670,Wyzwolenia,52.291822,21.130329
491,491,Zawodowa 01,52.263144,21.157099
611,611,Ząbki OSP,52.289935,21.110891
361,361,Zycha,52.284956,21.100906
521,521,Żołnierska 01,52.260410,21.144840
